"traceabilityId","nativeEvidenceId","binary","nativeAddress","nativeLabel","nexusArea","nexusArtifactKind","nexusPath","nexusSymbol","implementationStatus","tests","findingPath","residualRisk","lastReviewed"
"TRACE-OPCCLIENTCLIENT0X063E063E","OPC-CLIENT-CLIENT0X063E-063E","WildStar64.exe","","Client0x063E","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x063E; Client0x063EHandler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENT0X07010701","OPC-CLIENT-CLIENT0X0701-0701","WildStar64.exe","","Client0x0701","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x0701; Client0x0701Handler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENT0X07E307E3","OPC-CLIENT-CLIENT0X07E3-07E3","WildStar64.exe","","Client0x07E3","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x07E3; Client0x07E3Handler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENT0X09280928","OPC-CLIENT-CLIENT0X0928-0928","WildStar64.exe","","Client0x0928","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x0928; Client0x0928Handler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENTABILITYBOOKACTIVATESPELL017A","OPC-CLIENT-CLIENTABILITYBOOKACTIVATESPELL-017A","WildStar64.exe","","ClientAbilityBookActivateSpell","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Abilities/ClientAbilityBookActivateSpell.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientAbilityBookActivateSpellHandler.cs","ClientAbilityBookActivateSpell; ClientAbilityBookActivateSpellHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACCOUNTITEMCLAIMPENDINGITEMGROUP0233","OPC-CLIENT-CLIENTACCOUNTITEMCLAIMPENDINGITEMGROUP-0233","WildStar64.exe","","ClientAccountItemClaimPendingItemGroup","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientAccountItemClaimPendingItemGroup.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientAccountItemHandlers.cs","ClientAccountItemClaimPendingItemGroup; ClientAccountItemClaimPendingItemGroupHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACCOUNTITEMGIFTPENDINGITEMGROUPTOACCOUNT03F1","OPC-CLIENT-CLIENTACCOUNTITEMGIFTPENDINGITEMGROUPTOACCOUNT-03F1","WildStar64.exe","","ClientAccountItemGiftPendingItemGroupToAccount","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientAccountItemGiftPendingItemGroupToAccount.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientAccountItemHandlers.cs","ClientAccountItemGiftPendingItemGroupToAccount; ClientAccountItemGiftPendingItemGroupToAccountHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACCOUNTITEMGIFTPENDINGITEMGROUPTOCHARACTER03F2","OPC-CLIENT-CLIENTACCOUNTITEMGIFTPENDINGITEMGROUPTOCHARACTER-03F2","WildStar64.exe","","ClientAccountItemGiftPendingItemGroupToCharacter","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientAccountItemGiftPendingItemGroupToCharacter.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientAccountItemHandlers.cs","ClientAccountItemGiftPendingItemGroupToCharacter; ClientAccountItemGiftPendingItemGroupToCharacterHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACCOUNTITEMRETURNPENDINGITEMGROUP07C6","OPC-CLIENT-CLIENTACCOUNTITEMRETURNPENDINGITEMGROUP-07C6","WildStar64.exe","","ClientAccountItemReturnPendingItemGroup","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientAccountItemReturnPendingItemGroup.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientAccountItemHandlers.cs","ClientAccountItemReturnPendingItemGroup; ClientAccountItemReturnPendingItemGroupHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACCOUNTITEMTAKE0839","OPC-CLIENT-CLIENTACCOUNTITEMTAKE-0839","WildStar64.exe","","ClientAccountItemTake","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientAccountItemTake.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientAccountItemHandlers.cs","ClientAccountItemTake; ClientAccountItemTakeHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACCOUNTREALMDATA003D","OPC-CLIENT-CLIENTACCOUNTREALMDATA-003D","WildStar64.exe","","ClientAccountRealmData","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","ClientAccountRealmData; ClientAccountRealmDataHandler","Correlated","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Promote to Mapped only after native registration and payload functions are copied into this row from focused evidence.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACCOUNTREDEEMCOUPON0790","OPC-CLIENT-CLIENTACCOUNTREDEEMCOUPON-0790","WildStar64.exe","","ClientAccountRedeemCoupon","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientAccountRedeemCoupon.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientAccountTerminalHandlers.cs","ClientAccountRedeemCoupon; ClientAccountRedeemCouponHandler","Correlated","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Promote to Mapped only after native registration and payload functions are copied into this row from focused evidence.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACTIVATEUNIT00B3","OPC-CLIENT-CLIENTACTIVATEUNIT-00B3","WildStar64.exe","","ClientActivateUnit","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientActivateUnit.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientActivateUnitHandler.cs","ClientActivateUnit; ClientActivateUnitHandler","Correlated","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Promote to Mapped only after native registration and payload functions are copied into this row from focused evidence.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACTIVATEUNITCAST0097","OPC-CLIENT-CLIENTACTIVATEUNITCAST-0097","WildStar64.exe","","ClientActivateUnitCast","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientActivateUnitCast.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientActivateUnitCastHandler.cs","ClientActivateUnitCast; ClientActivateUnitCastHandler","Correlated","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Promote to Mapped only after native registration and payload functions are copied into this row from focused evidence.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACTIVATEUNITCASTPOSITION0096","OPC-CLIENT-CLIENTACTIVATEUNITCASTPOSITION-0096","WildStar64.exe","","ClientActivateUnitCastPosition","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientActivateUnitCastPosition.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientActivateUnitCastPositionHandler.cs","ClientActivateUnitCastPosition; ClientActivateUnitCastPositionHandler","Correlated","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Promote to Mapped only after native registration and payload functions are copied into this row from focused evidence.","2026-06-11"
"TRACE-OPCCLIENTCLIENTACTIVATEUNITCASTTARGET0098","OPC-CLIENT-CLIENTACTIVATEUNITCASTTARGET-0098","WildStar64.exe","","ClientActivateUnitCastTarget","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientActivateUnitCastTarget.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientActivateUnitCastTargetHandler.cs","ClientActivateUnitCastTarget; ClientActivateUnitCastTargetHandler","Correlated","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Promote to Mapped only after native registration and payload functions are copied into this row from focused evidence.","2026-06-11"
"TRACE-OPCCLIENTCLIENTADDONMODULELIST07B6","OPC-CLIENT-CLIENTADDONMODULELIST-07B6","WildStar64.exe","","ClientAddonModuleList","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","ClientAddonModuleList; ClientAddonModuleListHandler","Correlated","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Promote to Mapped only after native registration and payload functions are copied into this row from focused evidence.","2026-06-11"
"TRACE-OPCCLIENTCLIENTAUCTIONBUYORDERSUBMIT055E","OPC-CLIENT-CLIENTAUCTIONBUYORDERSUBMIT-055E","WildStar64.exe","","ClientAuctionBuyOrderSubmit","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Marketplace/ClientAuctionBuyOrderSubmit.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Marketplace/ClientMarketplaceHandlers.cs","ClientAuctionBuyOrderSubmit; ClientAuctionBuyOrderSubmitHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTAUCTIONCANCEL0094","OPC-CLIENT-CLIENTAUCTIONCANCEL-0094","WildStar64.exe","","ClientAuctionCancel","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Marketplace/ClientAuctionCancel.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Marketplace/ClientMarketplaceHandlers.cs","ClientAuctionCancel; ClientAuctionCancelHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTAUCTIONSBYFILTERREQUEST07DC","OPC-CLIENT-CLIENTAUCTIONSBYFILTERREQUEST-07DC","WildStar64.exe","","ClientAuctionsByFilterRequest","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Marketplace/ClientAuctionsByFilterRequest.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Marketplace/ClientMarketplaceHandlers.cs","ClientAuctionsByFilterRequest; ClientAuctionsByFilterRequestHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTAUCTIONSELLORDERSUBMIT06DC","OPC-CLIENT-CLIENTAUCTIONSELLORDERSUBMIT-06DC","WildStar64.exe","","ClientAuctionSellOrderSubmit","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Marketplace/ClientAuctionSellOrderSubmit.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Marketplace/ClientMarketplaceHandlers.cs","ClientAuctionSellOrderSubmit; ClientAuctionSellOrderSubmitHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTBUYBACKITEMFROMVENDOR00BB","OPC-CLIENT-CLIENTBUYBACKITEMFROMVENDOR-00BB","WildStar64.exe","","ClientBuybackItemFromVendor","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientBuybackItemFromVendor.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Vendor/ClientBuybackItemFromVendorHandler.cs","ClientBuybackItemFromVendor; ClientBuybackItemFromVendorHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCANCELEFFECT0802","OPC-CLIENT-CLIENTCANCELEFFECT-0802","WildStar64.exe","","ClientCancelEffect","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientCancelEffect.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientCancelEffectHandler.cs","ClientCancelEffect; ClientCancelEffectHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCASTGUILDBOSSTOKEN094F","OPC-CLIENT-CLIENTCASTGUILDBOSSTOKEN-094F","WildStar64.exe","","ClientCastGuildBossToken","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Spell/ClientCastGuildBossToken.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientCastGuildBossTokenHandler.cs","ClientCastGuildBossToken; ClientCastGuildBossTokenHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCASTPATHEXPLORERSEARCHING0099","OPC-CLIENT-CLIENTCASTPATHEXPLORERSEARCHING-0099","WildStar64.exe","","ClientCastPathExplorerSearching","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/PlayerPath/ClientPathExplorerCastSearching.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Path/ClientCastPathExplorerSearchingHandler.cs","ClientPathExplorerCastSearching; ClientCastPathExplorerSearchingHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCASTSPELL009A","OPC-CLIENT-CLIENTCASTSPELL-009A","WildStar64.exe","","ClientCastSpell","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientCastSpell.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientCastSpellHandler.cs","ClientCastSpell; ClientCastSpellHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCASTSPELLCONTINUOUS04DB","OPC-CLIENT-CLIENTCASTSPELLCONTINUOUS-04DB","WildStar64.exe","","ClientCastSpellContinuous","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientCastSpellContinuous.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientCastSpellContinuousHandler.cs","ClientCastSpellContinuous; ClientCastSpellContinuousHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCASTSPELLPOSITION009B","OPC-CLIENT-CLIENTCASTSPELLPOSITION-009B","WildStar64.exe","","ClientCastSpellPosition","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientCastSpellPosition.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientCastSpellPositionHandler.cs","ClientCastSpellPosition; ClientCastSpellPositionHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCASTSPELLSELECTED009D","OPC-CLIENT-CLIENTCASTSPELLSELECTED-009D","WildStar64.exe","","ClientCastSpellSelected","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientCastSpellSelected.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientCastSpellSelectedHandler.cs","ClientCastSpellSelected; ClientCastSpellSelectedHandler","Correlated","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Promote to Mapped only after native registration and payload functions are copied into this row from focused evidence.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCCSTATEKNOCKDOWNBREAK015C","OPC-CLIENT-CLIENTCCSTATEKNOCKDOWNBREAK-015C","WildStar64.exe","","ClientCCStateKnockdownBreak","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Entity/ClientCCStateKnockdownBreak.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Entity/Player/ClientCCStateKnockdownBreakHandler.cs","ClientCCStateKnockdownBreak; ClientCCStateKnockdownBreakHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCCSTATESTUNUPDATE00C3","OPC-CLIENT-CLIENTCCSTATESTUNUPDATE-00C3","WildStar64.exe","","ClientCCStateStunUpdate","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Entity/ClientCCStateStunUpdate.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientCCStateStunUpdateHandler.cs","ClientCCStateStunUpdate; ClientCCStateStunUpdateHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCHALLENGECHOICE00C5","OPC-CLIENT-CLIENTCHALLENGECHOICE-00C5","WildStar64.exe","","ClientChallengeChoice","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Challenges/ClientChallengeChoice.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientChallengeChoiceHandler.cs","ClientChallengeChoice; ClientChallengeChoiceHandler","Correlated","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Promote to Mapped only after native registration and payload functions are copied into this row from focused evidence.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCHARACTERAPPEARANCECHANGE0144","OPC-CLIENT-CLIENTCHARACTERAPPEARANCECHANGE-0144","WildStar64.exe","","ClientCharacterAppearanceChange","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientCharacterAppearanceChange.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Entity/Player/ClientAppearanceChangeHandler.cs","ClientCharacterAppearanceChange; ClientAppearanceChangeHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCHARACTERCREATE025B","OPC-CLIENT-CLIENTCHARACTERCREATE-025B","WildStar64.exe","","ClientCharacterCreate","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Pregame/ClientCharacterCreate.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Character/ClientCharacterCreateHandler.cs","ClientCharacterCreate; ClientCharacterCreateHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCHARACTERDELETE0352","OPC-CLIENT-CLIENTCHARACTERDELETE-0352","WildStar64.exe","","ClientCharacterDelete","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Pregame/ClientCharacterDelete.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Character/CharacterDeleteHandler.cs","ClientCharacterDelete; CharacterDeleteHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
"TRACE-OPCCLIENTCLIENTCHARACTERLIST07E0","OPC-CLIENT-CLIENTCHARACTERLIST-07E0","WildStar64.exe","","ClientCharacterList","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/Pregame/ClientCharacterList.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Character/CharacterListHandler.cs","ClientCharacterList; CharacterListHandler","Observed","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Native registration and payload evidence have not yet been recorded in coverage; run a focused decompile pass before semantic use.","2026-06-11"
