evidence_kind,script_scope,source_path,source_line,script_owner_ids,script_creature_ids,script_filter_name,source_call,source_symbol,source_excerpt,progression_targeting,quest_id,quest_title,quest_bucket,quest_completion_status,objective_id,objective_type_id,objective_type_name,object_id,update_count,achievement_id,achievement_title,matched_quest_ids,matched_quest_titles,matched_quest_objective_ids,matched_objective_text,reference_link_status,owner_link_status,source_trace_status,source_trace_detail,source_trace_sources,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
script_quest_typed_objective_update,script_main,Source\NexusForever.Script.Main\Quests\Galeras\Q4694HoldTheLine.cs,32,4694,23953,,ObjectiveUpdate,QuestObjectiveType.CompleteEvent,"player.QuestManager.ObjectiveUpdate(QuestObjectiveType.CompleteEvent, HoldoutEventObjectiveData, 1u);",typed_quest_objective,4694,Hold the Line,generic_with_script,not_retail_complete,,25,CompleteEvent,111,1,,,4694,Hold the Line,16116,"Kill Stormwing Falkrin near $p(creature=17168) troopers in <text Link=""Location:27750"">Crosswind Fields</text>",typed_objective_row_matched,script_owner_matches_quest,literal_or_constant_client_reference_tracked,object_id=HoldoutEventObjectiveData;object_link_status=numeric_constant_resolved;guard_quest_ids=4694,Source/NexusForever.Script.Main;wildstar_client_mysql,script_quest_typed_objective_update_matched_pending_trigger_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest objective progression hook is tracked, but retail completion needs exact trigger timing, objective state, repeat/overcredit behavior, reward side effects, and quest smoke."
script_quest_typed_objective_update,script_main,Source\NexusForever.Script.Main\Quests\Galeras\Q4696LeavingTheTempleOfOsiric.cs,35,,17189;19595,,ObjectiveUpdate,QuestObjectiveType.ActivateEntity,"player.QuestManager.ObjectiveUpdate(QuestObjectiveType.ActivateEntity, owner.CreatureId, 1u);",typed_quest_objective,4696,Leaving the Temple of Osiric,generic_with_script,not_retail_complete,,5,ActivateEntity,owner.CreatureId,1,,,4696,Leaving the Temple of Osiric,,,typed_objective_dynamic_object,quest_state_guard_matches_quest,dynamic_progression_source_expression_tracked,object_id=owner.CreatureId;object_link_status=source_expression_tracked;guard_quest_ids=4696,Source/NexusForever.Script.Main,script_quest_typed_objective_update_dynamic_runtime_context_pending_trace,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest objective progression hook is tracked, but retail completion needs exact trigger timing, objective state, repeat/overcredit behavior, reward side effects, and quest smoke."
script_achievement_grant,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\NorthernWildsAvalancheEntityScript.cs,240,,,,GrantAchievement,SnowSmashAchievement,player.AchievementManager.GrantAchievement(SnowSmashAchievement);,achievement_id,,,,,,,,,,3504,Snow Smash,,,,,achievement_row_matched,script_owner_not_declared,literal_or_constant_client_reference_tracked,achievement_expression=SnowSmashAchievement;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,script_achievement_grant_target_matched_pending_unlock_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted achievement grant hook is tracked, but retail completion needs exact unlock conditions, duplicate behavior, quest/progression linkage, rewards/titles, and achievement UI smoke."
script_quest_objective_update,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\NorthernWildsMapScript.cs,236,426,,,ObjectiveUpdate,Q3486ArrivedAtTowerObjective,"player.QuestManager.ObjectiveUpdate(Q3486ArrivedAtTowerObjective, 1u);",direct_quest_objective,3486,Empowered Tower,curated_full,not_retail_complete,4987,5,ActivateEntity,0,1,,,3486,Empowered Tower,4987,"Follow the power cables that lead north of the <text Link=""Location:19398"">Ancient Tower</text>",direct_objective_row_matched,script_owner_not_current_quest,literal_or_constant_client_reference_tracked,objective_expression=Q3486ArrivedAtTowerObjective;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,script_quest_objective_update_matched_pending_owner_review,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest objective progression hook is tracked, but retail completion needs exact trigger timing, objective state, repeat/overcredit behavior, reward side effects, and quest smoke."
script_quest_objective_update,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\NorthernWildsMapScript.cs,472,426,,,ObjectiveUpdate,Q4526InvestigateWreckageObjective,"player.QuestManager.ObjectiveUpdate(Q4526InvestigateWreckageObjective, 1u);",direct_quest_objective,4526,Spatial Anomaly,generic_with_script,not_retail_complete,6164,5,ActivateEntity,0,1,,,4526,Spatial Anomaly,6164,"Investigate <text Link=""Location:9706"">ship wreckage</text> near Settler's Reach",direct_objective_row_matched,script_owner_not_current_quest,literal_or_constant_client_reference_tracked,objective_expression=Q4526InvestigateWreckageObjective;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,script_quest_objective_update_matched_pending_owner_review,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest objective progression hook is tracked, but retail completion needs exact trigger timing, objective state, repeat/overcredit behavior, reward side effects, and quest smoke."
script_quest_mention,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3486EmpoweredTower.cs,49,3486,,,QuestMention,QuestSettingUpCamp,owner.Player.QuestManager.QuestMention(QuestSettingUpCamp);,quest_id,3671,Setting Up Camp,no_objectives,not_retail_complete,,,,,,,,3671,Setting Up Camp,,,quest_row_matched,script_owner_is_other_current_quest,literal_or_constant_client_reference_tracked,quest_expression=QuestSettingUpCamp;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,script_quest_mention_target_matched_pending_visibility_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest mention hook is tracked, but retail completion needs visibility, prerequisite, UI, and follow-up quest smoke."
script_quest_mention,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3486EmpoweredTower.cs,50,3486,,,QuestMention,QuestSecuringTheArea,owner.Player.QuestManager.QuestMention(QuestSecuringTheArea);,quest_id,3797,Securing the Area,curated_full,not_retail_complete,,,,,,,,3797,Securing the Area,,,quest_row_matched,script_owner_is_other_current_quest,literal_or_constant_client_reference_tracked,quest_expression=QuestSecuringTheArea;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,runtime_q3486_q3797_followup_mention_hook_tested,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/review/creature_bridge_overrides.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3486EmpoweredTower.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsQuestChainTests.cs,pending,not_retail_complete,"Q3486 completion is covered by focused tests that prove Q3797 is mentioned with the table-backed Q3671 follow-up and the Q3486 cinematic. Remaining Q3797 visibility, prerequisite, UI, and quest-chain smoke stay tracked by the parent quest/prerequisite/script blockers."
script_quest_objective_update,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3486EmpoweredTower.cs,61,3486,,,ObjectiveUpdate,ArrivalObjective,"owner.Player.QuestManager.ObjectiveUpdate(ArrivalObjective, 1u);",direct_quest_objective,3486,Empowered Tower,curated_full,not_retail_complete,4987,5,ActivateEntity,0,1,,,3486,Empowered Tower,4987,"Follow the power cables that lead north of the <text Link=""Location:19398"">Ancient Tower</text>",direct_objective_row_matched,script_owner_matches_quest,literal_or_constant_client_reference_tracked,objective_expression=ArrivalObjective;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,runtime_q3486_accept_zone_arrival_story_panel_credit_tested,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/review/creature_bridge_overrides.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3486EmpoweredTower.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsQuestChainTests.cs;Source/NexusForever.Game.Tests/Quests/EarlyZoneEntityObjectiveCreditTests.cs,pending,not_retail_complete,"Q3486 quest-script arrival credit is covered by focused tests for accepted-in-zone and outside-zone negative paths. Remaining client route, UI, reward, achievement, and end-to-end smoke stay tracked by the parent quest/objective/reward blockers."
script_quest_objective_update,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3486EmpoweredTower.cs,125,,,,ObjectiveUpdate,ArrivalObjective,"player.QuestManager.ObjectiveUpdate(ArrivalObjective, 1u);",direct_quest_objective,3486,Empowered Tower,curated_full,not_retail_complete,4987,5,ActivateEntity,0,1,,,3486,Empowered Tower,4987,"Follow the power cables that lead north of the <text Link=""Location:19398"">Ancient Tower</text>",direct_objective_row_matched,script_owner_not_declared,literal_or_constant_client_reference_tracked,objective_expression=ArrivalObjective;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,runtime_q3486_loftite_crystal_arrival_credit_hook_tested,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/review/creature_bridge_overrides.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3486EmpoweredTower.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsQuestChainTests.cs,pending,not_retail_complete,"Q3486 Loftite Crystal collection now has focused coverage for quest-state gating, arrival objective credit, duplicate suppression, and crystal despawn behavior. Remaining client collision/visual, reward, achievement, and end-to-end smoke stay tracked by the parent quest/objective/world blockers."
script_quest_typed_objective_update,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3486EmpoweredTower.cs,126,,,,ObjectiveUpdate,QuestObjectiveType.VirtualCollect,"player.QuestManager.ObjectiveUpdate(QuestObjectiveType.VirtualCollect, VirtualItemReward, 1u);",typed_quest_objective,3486,Empowered Tower,curated_full,not_retail_complete,,32,VirtualCollect,206,1,,,3486,Empowered Tower,4485,"Collect $m(vitem=206) outside <text Link=""Location:19399"">Exo-Lab 729</text> by jumping into them or by destroying $m(creature=11925)",typed_objective_row_matched,quest_state_guard_matches_quest,literal_or_constant_client_reference_tracked,object_id=VirtualItemReward;object_link_status=numeric_constant_resolved;guard_quest_ids=3486,Source/NexusForever.Script.Main;wildstar_client_mysql,runtime_q3486_loftite_crystal_virtual_collect_hook_tested,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/review/creature_bridge_overrides.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3486EmpoweredTower.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsQuestChainTests.cs,pending,not_retail_complete,"Q3486 Loftite Crystal virtual item 206 credit is covered by focused collection and map-overlap tests, including accepted/missing quest and repeat-activation guards. Remaining client collision/visual, reward, achievement, and end-to-end smoke stay tracked by the parent quest/objective/world blockers."
