evidence_kind,script_scope,source_path,source_line,script_owner_ids,source_call,source_symbol,reference_id,client_link_status,client_text,client_world_id,client_world_zone_id,client_creature_id,cinematic_interface,cinematic_implementation_class,cinematic_implementation_path,cinematic_duration_ms,runtime_payload_status,enum_namespace,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\EvilFromTheEther\EvilFromTheEtherEventScript.cs,406,781,CreateCinematic,IEvilFromTheEtherOnEthericOrganisms,0,zero_runtime_cinematic_id,,,,,IEvilFromTheEtherOnEthericOrganisms,EvilFromTheEtherOnEthericOrganisms,Source\NexusForever.Game\Cinematic\Cinematics\EvilFromTheEtherOnEthericOrganisms.cs,18033,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\EvilFromTheEther\EvilFromTheEtherMapScript.cs,35,3404,CreateCinematic,IEvilFromTheEtherOnCreate,0,zero_runtime_cinematic_id,,,,,IEvilFromTheEtherOnCreate,EvilFromTheEtherOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\EvilFromTheEtherOnCreate.cs,28200,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\FragmentZero\FragmentZeroEventScript.cs,126,680,QueueWipGuessedCinematic,IFragmentZeroFirstWarning,0,zero_runtime_cinematic_id,,,,,IFragmentZeroFirstWarning,FragmentZeroFirstWarning,Source\NexusForever.Game\Cinematic\Cinematics\FragmentZeroFirstWarning.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\FragmentZero\FragmentZeroMapScript.cs,38,3180,CreateCinematic,IFragmentZeroOnCreate,0,zero_runtime_cinematic_id,,,,,IFragmentZeroOnCreate,FragmentZeroOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\FragmentZeroOnCreate.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\Gauntlet\GauntletEventScript.cs,87,446,QueueWipGuessedCinematic,IGauntletFindOutWhatHappened,0,zero_runtime_cinematic_id,,,,,IGauntletFindOutWhatHappened,GauntletFindOutWhatHappened,Source\NexusForever.Game\Cinematic\Cinematics\GauntletFindOutWhatHappened.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\Gauntlet\GauntletEventScript.cs,131,446,QueueWipGuessedCinematic,IGauntletOnSpawnBrickBraggor,0,zero_runtime_cinematic_id,,,,,IGauntletOnSpawnBrickBraggor,GauntletOnSpawnBrickBraggor,Source\NexusForever.Game\Cinematic\Cinematics\GauntletOnSpawnBrickBraggor.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\Infestation\InfestationMapScript.cs,38,1232,CreateCinematic,IInfestationOnCreate,0,zero_runtime_cinematic_id,,,,,IInfestationOnCreate,InfestationOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\InfestationOnCreate.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\SpaceMadness\SpaceMadnessMapScript.cs,38,2149,CreateCinematic,ISpaceMadnessOnCreate,0,zero_runtime_cinematic_id,,,,,ISpaceMadnessOnCreate,SpaceMadnessOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\SpaceMadnessOnCreate.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Raid\Datascape\DatascapeEventScript.cs,320,157,QueueWipGuessedCinematic,IDatascapeAvatusSpawn,0,zero_runtime_cinematic_id,,,,,IDatascapeAvatusSpawn,DatascapeAvatusSpawn,Source\NexusForever.Game\Cinematic\Cinematics\DatascapeAvatusSpawn.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Raid\GeneticArchives\GeneticArchivesEventScript.cs,105,159,QueueWipGuessedCinematic,IGeneticArchivesOpenOhmnaDoor,0,zero_runtime_cinematic_id,,,,,IGeneticArchivesOpenOhmnaDoor,GeneticArchivesOpenOhmnaDoor,Source\NexusForever.Game\Cinematic\Cinematics\GeneticArchivesOpenOhmnaDoor.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Raid\InitializationCoreY83\InitializationCoreY83EventScript.cs,62,595,QueueWipGuessedCinematic,IInitializationCoreY83OpenDoor,0,zero_runtime_cinematic_id,,,,,IInitializationCoreY83OpenDoor,InitializationCoreY83OpenDoor,Source\NexusForever.Game\Cinematic\Cinematics\InitializationCoreY83OpenDoor.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\WorldStory\JourneyIntoOMNICore1\JourneyIntoOMNICore1MapScript.cs,43,3045,CreateCinematic,IJourneyIntoOMNICore1OnCreate,0,zero_runtime_cinematic_id,,,,,IJourneyIntoOMNICore1OnCreate,JourneyIntoOMNICore1OnCreate,Source\NexusForever.Game\Cinematic\Cinematics\JourneyIntoOMNICore1OnCreate.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\CrimsonIsleMapScript.cs,50,870,CreateCinematic,ICrimsonIsleOnCreate,35,client_row_matched,,,,,ICrimsonIsleOnCreate,CrimsonIsleOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\CrimsonIsleOnCreate.cs,18500,runtime_payload_present,,script_cinematic_runtime_payload_present_pending_trigger_timing_client_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q5573PoweringDown.cs,51,5573,CreateCinematic,IQ5573PoweringDownCinematic,,missing_runtime_cinematic_id,,,,,IQ5573PoweringDownCinematic,Q5573PoweringDownCinematic,Source\NexusForever.Game\Cinematic\Cinematics\Q5573PoweringDownCinematic.cs,14500,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q5604TacticalDemolitions.cs,57,5604,CreateCinematic,IQ5604TacticalDemolitionsCinematic,,missing_runtime_cinematic_id,,,,,IQ5604TacticalDemolitionsCinematic,Q5604TacticalDemolitionsCinematic,Source\NexusForever.Game\Cinematic\Cinematics\Q5604TacticalDemolitionsCinematic.cs,15000,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_main,Source\NexusForever.Script.Main\Quests\EverstarGrove\EverstarGroveMapScript.cs,34,990,CreateCinematic,IEverstarGroveOnCreate,35,client_row_matched,,,,,IEverstarGroveOnCreate,EverstarGroveOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\EverstarGroveOnCreate.cs,15333,runtime_payload_present,,script_cinematic_runtime_payload_present_pending_trigger_timing_client_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_main,Source\NexusForever.Script.Main\Quests\LevianBay\LevianBayMapScript.cs,34,1387,CreateCinematic,ILevianBayOnCreate,28,client_row_matched,,,,,ILevianBayOnCreate,LevianBayOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\LevianBayOnCreate.cs,34033,runtime_payload_present,,script_cinematic_runtime_payload_present_pending_trigger_timing_client_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\NorthernWildsMapScript.cs,284,426,CreateCinematic,INorthernWildsOnCreate,35,client_row_matched,,,,,INorthernWildsOnCreate,NorthernWildsOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\NorthernWildsOnCreate.cs,11000,runtime_payload_present,,script_cinematic_runtime_payload_present_pending_trigger_timing_client_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3486EmpoweredTower.cs,48,3486,CreateCinematic,IQ3486EmpoweredTowerCinematic,,missing_runtime_cinematic_id,,,,,IQ3486EmpoweredTowerCinematic,Q3486EmpoweredTowerCinematic,Source\NexusForever.Game\Cinematic\Cinematics\Q3486EmpoweredTowerCinematic.cs,17000,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3673ContactWithThayd.cs,111,3673,CreateCinematic,IQ3673ContactWithThaydCinematic,,missing_runtime_cinematic_id,,,,,IQ3673ContactWithThaydCinematic,Q3673ContactWithThaydCinematic,Source\NexusForever.Game\Cinematic\Cinematics\Q3673ContactWithThaydCinematic.cs,89333,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_main,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3963MoreImportantThanRevenge.cs,91,3963,CreateCinematic,IQ3963MoreImportantThanRevengeDepartureCinematic,,missing_runtime_cinematic_id,,,,,IQ3963MoreImportantThanRevengeDepartureCinematic,Q3963MoreImportantThanRevengeDepartureCinematic,Source\NexusForever.Game\Cinematic\Cinematics\Q3963MoreImportantThanRevengeDepartureCinematic.cs,,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
