"opcode","hex","direction","coverageStatus","decodeState","aliasCount","aliasOpcodes","modelCount","handlerCount","readableModelCount","writableModelCount","placeholderModeled","comment","modelTypes","modelPaths","handlerTypes","handlerPaths"
"ClientAuctionCancel","0x0094","Client","handled","named","1","ClientAuctionCancel","1","1","1","0","False","","ClientAuctionCancel","Source/NexusForever.Network.World/Message/Model/Marketplace/ClientAuctionCancel.cs","ClientAuctionCancelHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Marketplace/ClientMarketplaceHandlers.cs"
"ClientActivateUnitCastPosition","0x0096","Client","handled","named","1","ClientActivateUnitCastPosition","1","1","1","0","False","activate-unit family request with context token, selector nibbles, target id, and position","ClientActivateUnitCastPosition","Source/NexusForever.Network.World/Message/Model/ClientActivateUnitCastPosition.cs","ClientActivateUnitCastPositionHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientActivateUnitCastPositionHandler.cs"
"ClientActivateUnitCast","0x0097","Client","handled","named","1","ClientActivateUnitCast","1","1","1","0","False","activate-unit cast request with { ContextToken, ActivateUnitId }","ClientActivateUnitCast","Source/NexusForever.Network.World/Message/Model/ClientActivateUnitCast.cs","ClientActivateUnitCastHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientActivateUnitCastHandler.cs"
"ClientActivateUnitCastTarget","0x0098","Client","handled","named","1","ClientActivateUnitCastTarget","1","1","1","0","False","activate-unit family request with { ContextToken, TargetField }","ClientActivateUnitCastTarget","Source/NexusForever.Network.World/Message/Model/ClientActivateUnitCastTarget.cs","ClientActivateUnitCastTargetHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientActivateUnitCastTargetHandler.cs"
"ClientCastPathExplorerSearching","0x0099","Client","handled","named","1","ClientCastPathExplorerSearching","1","1","1","0","False","","ClientPathExplorerCastSearching","Source/NexusForever.Network.World/Message/Model/PlayerPath/ClientPathExplorerCastSearching.cs","ClientCastPathExplorerSearchingHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Path/ClientCastPathExplorerSearchingHandler.cs"
"ClientCastSpell","0x009A","Client","handled","named","1","ClientCastSpell","1","1","1","0","False","","ClientCastSpell","Source/NexusForever.Network.World/Message/Model/ClientCastSpell.cs","ClientCastSpellHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientCastSpellHandler.cs"
"ClientCastSpellPosition","0x009B","Client","handled","named","1","ClientCastSpellPosition","1","1","1","0","False","","ClientCastSpellPosition","Source/NexusForever.Network.World/Message/Model/ClientCastSpellPosition.cs","ClientCastSpellPositionHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientCastSpellPositionHandler.cs"
"ClientCastSpellSelected","0x009D","Client","handled","named","1","ClientCastSpellSelected","1","1","1","0","False","spell-cast variant with context token, selected entry id, target id, and position","ClientCastSpellSelected","Source/NexusForever.Network.World/Message/Model/ClientCastSpellSelected.cs","ClientCastSpellSelectedHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientCastSpellSelectedHandler.cs"
"ServerChallengeShared","0x00A9","Server","modeled","named","1","ServerChallengeShared","1","0","0","1","False","","ServerChallengeShared","Source/NexusForever.Network.World/Message/Model/Challenges/ServerChallengeShared.cs","",""
"ServerChallengeShareTimeout","0x00AA","Server","modeled","named","1","ServerChallengeShareTimeout","1","0","0","1","False","","ServerChallengeShareTimeout","Source/NexusForever.Network.World/Message/Model/Challenges/ServerChallengeShareTimeout.cs","",""
"ServerChangeWorld","0x00AD","Server","modeled","named","1","ServerChangeWorld","1","0","0","1","False","","ServerChangeWorld","Source/NexusForever.Network.World/Message/Model/ServerChangeWorld.cs","",""
"ServerAchievementInit","0x00AE","Server","modeled","named","1","ServerAchievementInit","1","0","0","1","False","","ServerAchievementInit","Source/NexusForever.Network.World/Message/Model/Achievement/ServerAchievementInit.cs","",""
"ServerAchievementUpdate","0x00AF","Server","modeled","named","1","ServerAchievementUpdate","1","0","0","1","False","","ServerAchievementUpdate","Source/NexusForever.Network.World/Message/Model/Achievement/ServerAchievementUpdate.cs","",""
"ServerLasOpeningUInt18","0x00B0","Server","modeled","named","1","ServerLasOpeningUInt18","1","0","0","1","False","18-bit Spell4Id; reader ServerUInt18_ReadPayload @ 140080d30","ServerLasOpeningUInt18","Source/NexusForever.Network.World/Message/Model/Abilities/ServerLasAuxPackets.cs","",""
"ClientRequestActionSetChanges","0x00B1","Client","handled","named","1","ClientRequestActionSetChanges","1","1","1","0","False","","ClientRequestActionSetChanges","Source/NexusForever.Network.World/Message/Model/Abilities/ClientRequestActionSetChanges.cs","ClientRequestActionSetChangesHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientRequestActionSetChangesHandler.cs"
"ServerActionSetClearCache","0x00B2","Server","modeled","named","1","ServerActionSetClearCache","1","0","0","1","False","server sends this after a ClientRequestActionSetChanges (0xB1)","ServerActionSetClearCache","Source/NexusForever.Network.World/Message/Model/Abilities/ServerActionSetClearCache.cs","",""
"ClientActivateUnit","0x00B3","Client","handled","named","1","ClientActivateUnit","1","1","1","0","False","direct activate-unit request with { ActivateUnitId }","ClientActivateUnit","Source/NexusForever.Network.World/Message/Model/ClientActivateUnit.cs","ClientActivateUnitHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientActivateUnitHandler.cs"
"ClientLootAssignMaster","0x00B5","Client","handled","named","1","ClientLootAssignMaster","1","1","1","0","False","","ClientLootAssignMaster","Source/NexusForever.Network.World/Message/Model/Loot/ClientLootAssignMaster.cs","ClientLootAssignMasterHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Loot/ClientUnsupportedLootHandlers.cs"
"ClientItemContextAction","0x00B6","Client","handled","named","1","ClientItemContextAction","1","1","1","0","False","inventory item-click/context action with item guid and selector bit","ClientItemContextAction","Source/NexusForever.Network.World/Message/Model/ClientItemContextAction.cs","ClientItemContextActionHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Item/ClientItemContextActionHandler.cs"
"ServerItemContextActionAck","0x00B7","Server","modeled","named","1","ServerItemContextActionAck","1","0","0","0","False","1-byte ack after ClientItemContextAction","ServerItemContextActionAck","Source/NexusForever.Network.World/Message/Model/ServerClusterAuxPackets.cs","",""
"ClientFriendshipBlock","0x00B8","Client","handled","named","1","ClientFriendshipBlock","1","1","1","0","False","","ClientFriendshipBlock","Source/NexusForever.Network.World/Message/Model/Friendship/ClientFriendshipBlock.cs","ClientFriendshipBlockHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Friendship/ClientFriendshipAdditionalHandlers.cs"
"ServerBuybackItemUpdated","0x00BA","Server","modeled","named","1","ServerBuybackItemUpdated","1","0","0","1","False","","ServerBuybackItemUpdated","Source/NexusForever.Network.World/Message/Model/ServerBuybackItemUpdated.cs","",""
"ClientBuybackItemFromVendor","0x00BB","Client","handled","named","1","ClientBuybackItemFromVendor","1","1","1","0","False","","ClientBuybackItemFromVendor","Source/NexusForever.Network.World/Message/Model/ClientBuybackItemFromVendor.cs","ClientBuybackItemFromVendorHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Vendor/ClientBuybackItemFromVendorHandler.cs"
"ServerBuybackItems","0x00BC","Server","modeled","named","1","ServerBuybackItems","1","0","0","1","False","","ServerBuybackItems","Source/NexusForever.Network.World/Message/Model/ServerBuybackItems.cs","",""
"ServerBuybackItemRemoved","0x00BD","Server","modeled","named","1","ServerBuybackItemRemoved","1","0","0","1","False","","ServerBuybackItemRemoved","Source/NexusForever.Network.World/Message/Model/ServerBuybackItemRemoved.cs","",""
"ClientVendorPurchase","0x00BE","Client","handled","named","1","ClientVendorPurchase","1","1","1","0","False","","ClientVendorPurchase","Source/NexusForever.Network.World/Message/Model/ClientVendorPurchase.cs","ClientVendorPurchaseHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Vendor/ClientVendorPurchaseHandler.cs"
"ClientLogoutRequest","0x00BF","Client","handled","named","1","ClientLogoutRequest","1","1","1","0","False","","ClientLogoutRequest","Source/NexusForever.Network.World/Message/Model/ClientLogoutRequest.cs","ClientRequestLogoutHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Entity/Player/ClientRequestLogoutHandler.cs"
"ClientLogoutConfirm","0x00C0","Client","handled","named","1","ClientLogoutConfirm","1","1","1","0","False","","ClientLogoutConfirm","Source/NexusForever.Network.World/Message/Model/ClientLogoutConfirm.cs","ClientLogoutConfirmHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Entity/Player/ClientLogoutConfirmHandler.cs"
"ServerDuelCancelWarning","0x00C1","Server","modeled","named","1","ServerDuelCancelWarning","1","0","0","1","False","","ServerDuelCancelWarning","Source/NexusForever.Network.World/Message/Model/Pvp/ServerDuelCancelWarning.cs","",""
"ClientSpellCastWithServiceToken","0x00C2","Client","handled","named","1","ClientSpellCastWithServiceToken","1","1","1","0","False","","ClientSpellCastWithServiceToken","Source/NexusForever.Network.World/Message/Model/Spell/ClientSpellCastWithServiceToken.cs","ClientSpellCastWithServiceTokenHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientSpellCastWithServiceTokenHandler.cs"
"ClientCCStateStunUpdate","0x00C3","Client","handled","named","1","ClientCCStateStunUpdate","1","1","1","0","False","","ClientCCStateStunUpdate","Source/NexusForever.Network.World/Message/Model/Entity/ClientCCStateStunUpdate.cs","ClientCCStateStunUpdateHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientCCStateStunUpdateHandler.cs"
"ServerCCStateStunDirection","0x00C4","Server","modeled","named","1","ServerCCStateStunDirection","1","0","0","1","False","","ServerCCStateStunDirection","Source/NexusForever.Network.World/Message/Model/Entity/ServerCCStateStunDirection.cs","",""
"ClientChallengeChoice","0x00C5","Client","handled","named","1","ClientChallengeChoice","1","1","1","0","False","","ClientChallengeChoice","Source/NexusForever.Network.World/Message/Model/Challenges/ClientChallengeChoice.cs","ClientChallengeChoiceHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientChallengeChoiceHandler.cs"
"ServerChallengeResult","0x00C6","Server","modeled","named","1","ServerChallengeResult","1","0","0","1","False","","ServerChallengeResult","Source/NexusForever.Network.World/Message/Model/Challenges/ServerChallengeResult.cs","",""
"ServerChallengeUpdate","0x00C7","Server","modeled","named","1","ServerChallengeUpdate","1","0","0","1","False","","ServerChallengeUpdate","Source/NexusForever.Network.World/Message/Model/Challenges/ServerChallengeUpdate.cs","",""
"Client0x00C8","0x00C8","Client","handled","named","1","Client0x00C8","1","1","1","0","False","0x4-byte payload; semantics unresolved","Client0x00C8","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs","Client0x00C8Handler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs"
"ClientHousingResidencePrivacyLevel","0x00C9","Client","handled","named","1","ClientHousingResidencePrivacyLevel","1","1","1","0","False","","ClientHousingSetPrivacyLevel","Source/NexusForever.Network.World/Message/Model/ClientHousingSetPrivacyLevel.cs","ClientHousingResidencePrivacyLevelHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Housing/ClientHousingResidencePrivacyLevelHandler.cs"
"ServerHousingResidenceKeyedUpdate","0x00CA","Server","modeled","named","1","ServerHousingResidenceKeyedUpdate","1","0","0","1","False","uint64 + uint32 fields; semantics unresolved","ServerHousingResidenceKeyedUpdate","Source/NexusForever.Network.World/Message/Model/ServerHousingResidenceKeyedUpdate.cs","",""
"ServerHousingResidenceEmpty","0x00CB","Server","modeled","named","1","ServerHousingResidenceEmpty","1","0","0","1","False","empty; reader ServerEmpty_ReadPayload @ 14007d8e0","ServerHousingResidenceEmpty","Source/NexusForever.Network.World/Message/Model/ServerHousingAuxPackets.cs","",""
"ServerHousingResidenceUInt15","0x00CC","Server","modeled","named","1","ServerHousingResidenceUInt15","1","0","0","1","False","15-bit scalar; reader ServerUInt15_ReadPayload @ 14007c3a0","ServerHousingResidenceUInt15","Source/NexusForever.Network.World/Message/Model/ServerHousingAuxPackets.cs","",""
"ServerHousingResidenceUInt15Alt","0x00CD","Server","modeled","named","1","ServerHousingResidenceUInt15Alt","1","0","0","1","False","15-bit scalar; shares reader with 0x00CC","ServerHousingResidenceUInt15Alt","Source/NexusForever.Network.World/Message/Model/ServerHousingAuxPackets.cs","",""
"ServerHousingResidenceWideString","0x00CE","Server","modeled","named","1","ServerHousingResidenceWideString","1","0","0","1","False","wide string housing residence output","ServerHousingResidenceWideString","Source/NexusForever.Network.World/Message/Model/ServerHousingAuxPackets.cs","",""
"ServerHousingResidenceEmptyFollowUp","0x00D1","Server","modeled","named","1","ServerHousingResidenceEmptyFollowUp","1","0","0","1","False","empty; reader ServerEmpty_ReadPayload @ 14007d8e0","ServerHousingResidenceEmptyFollowUp","Source/NexusForever.Network.World/Message/Model/ServerHousingAuxPackets.cs","",""
"ClientClosedInstanceSettings","0x00D2","Client","handled","named","1","ClientClosedInstanceSettings","1","1","1","0","False","","ClientClosedInstanceSettings","Source/NexusForever.Network.World/Message/Model/Instance/ClientClosedInstanceSettings.cs","ClientClosedInstanceSettingsHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Instance/ClientInstanceSettingsHandlers.cs"
"ServerHideInstanceGameModeDialog","0x00D3","Server","modeled","named","1","ServerHideInstanceGameModeDialog","1","0","0","1","False","","ServerHideInstanceGameModeDialog","Source/NexusForever.Network.World/Message/Model/Instance/ServerHideInstanceGameModeDialog.cs","",""
"ClientCombatOptions","0x00D5","Client","handled","named","1","ClientCombatOptions","1","1","1","0","False","","ClientCombatOptions","Source/NexusForever.Network.World/Message/Model/Option/ClientCombatOptions.cs","ClientCombatOptionsHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Option/ClientOptionHandlers.cs"
"ServerPublicEventEnd","0x00D6","Server","modeled","named","1","ServerPublicEventEnd","1","0","0","1","False","","ServerPublicEventEnd","Source/NexusForever.Network.World/Message/Model/PublicEvent/ServerPublicEventEnd.cs","",""
"ClientConvertResource","0x00D7","Client","handled","named","1","ClientConvertResource","1","1","1","0","False","","ClientConvertResource","Source/NexusForever.Network.World/Message/Model/ClientConvertResource.cs","ClientConvertResourceHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientMappedRequestHandlers.cs"
"ServerCostume","0x00D8","Server","modeled","named","1","ServerCostume","1","0","0","1","False","","ServerCostume","Source/NexusForever.Network.World/Message/Model/ServerCostume.cs","",""
"ServerCostumeList","0x00D9","Server","modeled","named","1","ServerCostumeList","1","0","0","1","False","","ServerCostumeList","Source/NexusForever.Network.World/Message/Model/ServerCostumeList.cs","",""
"ServerCharacterCreate","0x00DC","Server","modeled","named","1","ServerCharacterCreate","1","0","0","1","False","","ServerCharacterCreate","Source/NexusForever.Network.World/Message/Model/Pregame/ServerCharacterCreate.cs","",""
"ServerChannelUpdateLoot","0x00DD","Server","modeled","named","1","ServerChannelUpdateLoot","1","0","0","1","False","","ServerChannelUpdateLoot","Source/NexusForever.Network.World/Message/Model/ServerChannelUpdateLoot.cs","",""
"ClientDashCast","0x00DE","Client","handled","named","1","ClientDashCast","1","1","1","0","False","","ClientDashCast","Source/NexusForever.Network.World/Message/Model/ClientDashCast.cs","ClientDashCastHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientMappedRequestHandlers.cs"
"ServerDatacubeAuxByte","0x00DF","Server","modeled","named","1","ServerDatacubeAuxByte","1","0","0","0","False","1-byte datacube cluster aux","ServerDatacubeAuxByte","Source/NexusForever.Network.World/Message/Model/ServerClusterAuxPackets.cs","",""
"ServerDatacubeUpdateList","0x00E0","Server","modeled","named","1","ServerDatacubeUpdateList","1","0","0","1","False","","ServerDatacubeUpdateList","Source/NexusForever.Network.World/Message/Model/ServerDatacubeUpdateList.cs","",""
"ServerDatacubeUpdate","0x00E1","Server","modeled","named","1","ServerDatacubeUpdate","1","0","0","1","False","","ServerDatacubeUpdate","Source/NexusForever.Network.World/Message/Model/ServerDatacubeUpdate.cs","",""
"ServerDatacubeVolumeUpdate","0x00E2","Server","modeled","named","1","ServerDatacubeVolumeUpdate","1","0","0","1","False","","ServerDatacubeVolumeUpdate","Source/NexusForever.Network.World/Message/Model/ServerDatacubeVolumeUpdate.cs","",""
"ClientSpellCastState","0x00E3","Client","handled","named","1","ClientSpellCastState","1","1","1","0","False","one-bit spell-cast state update from local cast gating","ClientSpellCastState","Source/NexusForever.Network.World/Message/Model/ClientSpellCastState.cs","ClientSpellCastStateHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Spell/ClientSpellCastStateHandler.cs"
"ClientResurrectRequest","0x00E4","Client","handled","named","1","ClientResurrectRequest","1","1","1","0","False","","ClientResurrectRequest","Source/NexusForever.Network.World/Message/Model/ClientResurrectRequest.cs","ClientResurrectRequestHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Entity/Player/ClientResurrectRequestHandler.cs"
"ServerCharacterDeleteResult","0x00E6","Server","modeled","named","1","ServerCharacterDeleteResult","1","0","0","1","False","","ServerCharacterDeleteResult","Source/NexusForever.Network.World/Message/Model/Pregame/ServerCharacterDeleteResult.cs","",""
"ServerCharacterDisabled","0x00E7","Server","modeled","named","1","ServerCharacterDisabled","1","0","0","1","False","","ServerCharacterDisabled","Source/NexusForever.Network.World/Message/Model/Pregame/ServerCharacterDisabled.cs","",""
"ClientDuelAccept","0x00E8","Client","handled","named","1","ClientDuelAccept","1","1","1","0","False","","ClientDuelAccept","Source/NexusForever.Network.World/Message/Model/Pvp/ClientDuelAccept.cs","ClientDuelAcceptHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Pvp/ClientPvpHandlers.cs"
"ClientDuelDecline","0x00E9","Client","handled","named","1","ClientDuelDecline","1","1","1","0","False","","ClientDuelDecline","Source/NexusForever.Network.World/Message/Model/Pvp/ClientDuelDecline.cs","ClientDuelDeclineHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Pvp/ClientPvpHandlers.cs"
"ClientDuelForfeit","0x00EA","Client","handled","named","1","ClientDuelForfeit","1","1","1","0","False","","ClientDuelForfeit","Source/NexusForever.Network.World/Message/Model/Pvp/ClientDuelForfeit.cs","ClientDuelForfeitHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Pvp/ClientPvpHandlers.cs"
"ServerDuelFailure","0x00EB","Server","modeled","named","1","ServerDuelFailure","1","0","0","1","False","","ServerDuelFailure","Source/NexusForever.Network.World/Message/Model/Pvp/ServerDuelFailure.cs","",""
"ClientDuelInitiate","0x00EC","Client","handled","named","1","ClientDuelInitiate","1","1","1","0","False","","ClientDuelInitiate","Source/NexusForever.Network.World/Message/Model/Pvp/ClientDuelInitiate.cs","ClientDuelInitiateHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Pvp/ClientPvpHandlers.cs"
"Client0x00ED","0x00ED","Client","handled","named","1","Client0x00ED","1","1","1","0","False","0x20-byte payload; semantics unresolved","Client0x00ED","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs","Client0x00EDHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs"
"ServerDuelAuxByte","0x00EE","Server","modeled","named","1","ServerDuelAuxByte","1","0","0","0","False","1-byte duel cluster aux","ServerDuelAuxByte","Source/NexusForever.Network.World/Message/Model/ServerClusterAuxPackets.cs","",""
"ClientPathScientistDismissScanbot","0x00F0","Client","handled","named","1","ClientPathScientistDismissScanbot","1","1","1","0","False","","ClientPathScientistDismissScanbot","Source/NexusForever.Network.World/Message/Model/PlayerPath/ClientPathScientistDismissScanbot.cs","ClientPathScientistDismissScanbotHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Path/ClientPathScientistDismissScanbotHandler.cs"
"ServerInstanceSettings","0x00F1","Server","modeled","named","1","ServerInstanceSettings","1","0","0","1","False","handler sends 0x00D5 and ClientPlayerMovementSpeedUpdate","ServerInstanceSettings","Source/NexusForever.Network.World/Message/Model/ServerInstanceSettings.cs","",""
"ClientEnteredWorld","0x00F2","Client","handled","named","1","ClientEnteredWorld","1","1","1","0","False","","ClientEnteredWorld","Source/NexusForever.Network.World/Message/Model/ClientEnteredWorld.cs","ClientEnteredWorldHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientEnteredWorldHandler.cs"
"ClientPathExplorerProgressReport","0x00F3","Client","handled","named","1","ClientPathExplorerProgressReport","1","1","1","0","False","","ClientPathExplorerProgressReport","Source/NexusForever.Network.World/Message/Model/PlayerPath/ClientPathExplorerProgressReport.cs","ClientPathExplorerProgressReportHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Path/ClientPathExplorerProgressReportHandler.cs"
"ServerPathMissionAdvanced","0x00F4","Server","modeled","named","1","ServerPathMissionAdvanced","1","0","0","1","False","","ServerPathMissionAdvanced","Source/NexusForever.Network.World/Message/Model/PlayerPath/ServerPathMissionAdvanced.cs","",""
"ServerPathExplorerPowerMapStarted","0x00F5","Server","modeled","named","1","ServerPathExplorerPowerMapStarted","1","0","0","1","False","","ServerPathExplorerPowerMapStarted","Source/NexusForever.Network.World/Message/Model/PlayerPath/ServerPathExplorerPowerMapStarted.cs","",""
"ServerPathExplorerPowerMapEntered","0x00F6","Server","modeled","named","1","ServerPathExplorerPowerMapEntered","1","0","0","1","False","","ServerPathExplorerPowerMapEntered","Source/NexusForever.Network.World/Message/Model/PlayerPath/ServerPathExplorerPowerMapEntered.cs","",""
"ServerPathExplorerPowerMapExited","0x00F7","Server","modeled","named","1","ServerPathExplorerPowerMapExited","1","0","0","1","False","","ServerPathExplorerPowerMapExited","Source/NexusForever.Network.World/Message/Model/PlayerPath/ServerPathExplorerPowerMapExited.cs","",""
"ServerPathExplorerPowerMapFailed","0x00F8","Server","modeled","named","1","ServerPathExplorerPowerMapFailed","1","0","0","1","False","","ServerPathExplorerPowerMapFailed","Source/NexusForever.Network.World/Message/Model/PlayerPath/ServerPathExplorerPowerMapFailed.cs","",""
"ClientPathExplorerPowerMapProgress","0x00F9","Client","handled","named","1","ClientPathExplorerPowerMapProgress","1","1","1","0","False","","ClientPathExplorerPowerMapProgress","Source/NexusForever.Network.World/Message/Model/PlayerPath/ClientPathExplorerPowerMapProgress.cs","ClientPathExplorerPowerMapProgressHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Path/ClientPathExplorerPowerMapProgressHandler.cs"
"ServerPathExplorerPowerMapWaiting","0x00FA","Server","modeled","named","1","ServerPathExplorerPowerMapWaiting","1","0","0","1","False","","ServerPathExplorerPowerMapWaiting","Source/NexusForever.Network.World/Message/Model/PlayerPath/ServerPathExplorerPowerMapWaiting.cs","",""
"ClientMovementFallDamage","0x00FB","Client","handled","named","1","ClientMovementFallDamage","1","1","1","0","False","movement/fall branch sends one float from local movement state","ClientMovementFallDamage","Source/NexusForever.Network.World/Message/Model/ClientMovementFallDamage.cs","ClientMovementFallDamageHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientMappedRequestHandlers.cs"
"ClientMovementFallLand","0x00FC","Client","handled","named","1","ClientMovementFallLand","1","1","1","0","False","movement state payload sent when local fall/landing state changes","ClientMovementFallLand","Source/NexusForever.Network.World/Message/Model/ClientMovementFallLand.cs","ClientMovementFallLandHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientMappedRequestHandlers.cs"
"ServerCharacterFlagsUpdated","0x00FE","Server","modeled","named","1","ServerCharacterFlagsUpdated","1","0","0","1","False","","ServerCharacterFlagsUpdated","Source/NexusForever.Network.World/Message/Model/ServerCharacterFlagsUpdated.cs","",""
"ClientFlightPathPurchase","0x00FF","Client","handled","named","1","ClientFlightPathPurchase","1","1","1","0","False","","ClientFlightPathPurchase","Source/NexusForever.Network.World/Message/Model/ClientFlightPathPurchase.cs","ClientFlightPathPurchaseHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Entity/Player/ClientFlightPathPurchaseHandler.cs"
"ServerResurrectionState","0x0100","Server","modeled","named","1","ServerResurrectionState","1","0","0","1","False","","ServerResurrectionState","Source/NexusForever.Network.World/Message/Model/ServerResurrectionState.cs","",""
"ServerResurrectionAuxByte","0x0101","Server","modeled","named","1","ServerResurrectionAuxByte","1","0","0","0","False","1-byte resurrection cluster aux","ServerResurrectionAuxByte","Source/NexusForever.Network.World/Message/Model/ServerClusterAuxPackets.cs","",""
"ServerGalacticArchiveRefresh","0x0102","Server","modeled","named","1","ServerGalacticArchiveRefresh","1","0","0","1","False","","ServerGalacticArchiveRefresh","Source/NexusForever.Network.World/Message/Model/GalacticArchive/ServerGalacticArchiveRefresh.cs","",""
