content_type,world_id,instance_name,dependency_type,dependency_id,entity_id,creature_id,entity_type,area_id,event_id,phase,script_name,stat,value,x,y,z,rx,ry,rz,display_info,outfit_info,faction1,faction2,quest_checklist_idx,active_prop_id,world_socket_id,mode,reconciliation_field,reconciliation_value,related_events,related_scripts,related_stats,source_comment,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
expedition,2149,Space Madness,entity,1100300011,1100300011,46714,0,2415,,,,,,12.919,-2.91,124.5722,2.64731,0,0,26022,9347,218,218,0,0,0,0,,,390:4,,0=1;10=32,"Space Madness Blazing Crewman B; source creature 46714; event 390 phase 4; Branch SQL supplies the second event 390 phase 4 Blazing Crewman row; current script only activates phase objectives, so spawn/combat behavior remains WIP/GUESSED.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,2149,Space Madness,entity,1100300012,1100300012,45981,10,2415,,,,,,4.41,0,72.89,0,0,0,23951,0,219,219,0,0,0,0,,,390:5,,,"Space Madness Hazmat Suit; source creature 45981; event 390 phase 5; Branch SQL supplies event 390 phase 5 for the hazmat suit; the source comment says coordinates need fixing, so this remains WIP/GUESSED placement data.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,2183,Gauntlet,entity,1100300013,1100300013,48580,0,2620,,,,,,541.0117,0.2229719,-513.6139,0,0,0,21338,0,219,219,0,0,0,0,,,446:0,,0=1,Gauntlet Pilot Taboro; source creature 48580; event 446 phase 0; Branch SQL supplies event 446 phase 0 and the current Gauntlet event script starts at TalkToPilotTaboro; placement is preserved as WIP/GUESSED pending manual expedition smoke.,reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,2183,Gauntlet,entity,1100300014,1100300014,58979,10,2620,,,,,,523.0805,0.1994047,-507.9437,0,0,0,30327,0,219,219,0,0,0,0,,,,,,"Gauntlet Gather Marker; source creature 58979; no source entity_event row; Branch SQL supplies a static gather marker with no entity_event row; current Gauntlet script creates gather triggers dynamically, so this placement stays WIP/GUESSED and choreography-blocked.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3180,Fragment Zero,entity,1100300015,1100300015,71762,0,4619,,,,,,9873.75,-765.9531,-5848.58,0,0,0,32807,0,219,219,0,0,0,0,,,,,0=1;20=0;22=0,"Fragment Zero Freight Supervisor Lola; source creature 71762; no source entity_event row; Branch SQL supplies Freight Supervisor Lola as a static Fragment Zero row; current script uses Supervisor Lola communicator ids, but exact NPC phase/timing proof remains blocked.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,1232,Infestation,entity,1100300016,1100300016,71764,0,1158,,,,,,4.41241,-500,14.0114,0,0,0,28578,0,219,219,0,0,0,0,,,,,0=1,"Infestation Captain Tolben; source creature 71764; no source entity_event row; Branch SQL supplies Captain Tolben as a static Infestation row; current script starts the cargo-ship objective chain, but exact NPC interaction/timing proof remains blocked.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,1319,Outpost M-13,entity,1100300017,1100300017,41201,0,1540,,,,,,9791.18,-932.668,5264.279,0,0,0,28578,0,466,466,0,0,0,0,,,108:0,,0=1,Outpost M-13 Captain Milo; source creature 41201; event 108 phase 0; Branch SQL supplies event 108 phase 0 and the current Outpost M-13 event script starts at TalkToCaptainMilo; placement is preserved as WIP/GUESSED pending manual expedition smoke.,reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300018,1100300018,71847,0,0,,,,,,-62.29986,-826.7423,315.39798,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark A; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300019,1100300019,71847,0,0,,,,,,-42.11708,-819.4943,316.413,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark B; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300020,1100300020,71847,0,0,,,,,,-50.01624,-826.74396,309.8,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark C; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300021,1100300021,71847,0,0,,,,,,-63.714478,-817.7603,312.456,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark D; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300022,1100300022,71847,0,0,,,,,,-43.03138,-826.57556,313.40698,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark E; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300023,1100300023,71847,0,0,,,,,,-51.01272,-819.90674,320.367,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark F; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300024,1100300024,71847,0,0,,,,,,-59.60385,-818.0261,320.757,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark G; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300025,1100300025,71847,0,0,,,,,,-47.63262,-813.7216,320.81198,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark H; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300026,1100300026,71847,0,0,,,,,,-55.35622,-815.50745,306.914,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark I; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300027,1100300027,71847,0,0,,,,,,-58.10405,-818.83215,310.94598,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark J; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,3404,Evil from the Ether,entity,1100300028,1100300028,71847,0,0,,,,,,-51.504288,-820.1912,304.748,-3.1415925,-0,0,24324,0,219,219,0,0,0,0,,,781:23,,,"Evil from the Ether Drive Spark K; source creature 71847; event 781 phase 23; Branch SQL supplies event 781 phase 23, which maps to the current PickUpDriveSchematics phase; official DB has no matching row, so this is WIP/GUESSED visual/objective-phase placement only.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
dungeon,3173,Protogames Academy,entity,1100300029,1100300029,62475,20,4651,,,,,,-24400.19,-974.6682,-28977.15,0,0,0,35019,0,219,219,0,0,0,0,,,667:8,,,"Protogames Academy portal A; source creature 62475; event 667 phase 8; Branch SQL supplies event 667 phase 8, but the source notes the portal may belong only to Ultimate Protogames; current C# uses a dynamic WIP teleporter trigger, so this static portal remains WIP/GUESSED.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
dungeon,3173,Protogames Academy,entity,1100300030,1100300030,62475,20,4507,,,,,,-19804.34,-945.5437,-29483.94,0,0,0,35019,0,219,219,0,1,0,0,,,667:16,,,"Protogames Academy portal B; source creature 62475; event 667 phase 16; Branch SQL supplies event 667 phase 16, but the source notes the portal may belong only to Ultimate Protogames; current C# uses a dynamic WIP teleporter trigger, so this static portal remains WIP/GUESSED.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
dungeon,3173,Protogames Academy,entity,1100300031,1100300031,67475,0,4651,,,,,,-24330.6,-974.0855,-28917.8,0,0,0,24783,0,1322,1322,0,0,0,0,,,667:3,InvulnotronEntityScript,0=1;10=10,"Protogames Academy Invulnotron; source creature 67475; event 667 phase 3; Branch SQL supplies event 667 phase 3 and InvulnotronEntityScript; current C# has a WIP objective-credit script, while combat behavior and spawn timing remain blocked.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
dungeon,3173,Protogames Academy,entity,1100300032,1100300032,67539,0,4651,,,,,,-24330.6,-974.0855,-28950.8,0,0,0,23539,0,219,219,0,0,0,0,,,667:4,,,"Protogames Academy Room 1 Launcher; source creature 67539; event 667 phase 4; Branch SQL supplies event 667 phase 4 and notes the faction is uncertain; current C# uses WIP gather/teleporter triggers, so launcher interaction/choreography remains blocked.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
