content_type,world_id,instance_name,reward_source,source_id,source_name,reward_rotation_content_id,reward_rotation_content_type,match_type_enum,world_difficulty_enum,reward_item_type,reward_item_object,item2_id,item_count,currency_type_id,currency_value,xp_earned,item2_id_level_scale,item_count_level_scale,currency_type_id_level_scale,currency_value_level_scale,xp_earned_level_scale,global_reward_rotation_item_ids,global_reward_rotation_modifier_ids,global_reward_rotation_essence_ids,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
dungeon,2980,Ultimate Protogames,world_reward_rotation_content,2980,Ultimate Protogames,16,1,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
dungeon,3173,Protogames Academy,world_reward_rotation_content,3173,Protogames Academy,17,1,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
expedition,3180,Fragment Zero,world_reward_rotation_content,3180,Fragment Zero,24,3,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
expedition,3404,Evil from the Ether,world_reward_rotation_content,3404,Evil from the Ether,25,3,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
dungeon,3522,Coldblood Citadel,world_reward_rotation_content,3522,Coldblood Citadel,45,1,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
dungeon,382,Stormtalon's Lair,match_type_reward_rotation_content_random_normal,10,Stormtalon's Lair,46,6,1,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_match_type_reward_rotation_content_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Match-type reward-rotation content is tracked, but retail completion needs queue completion, random/veteran selection, schedule grant, and client reward presentation smoke."
dungeon,382,Stormtalon's Lair,matching_random_reward,2,Stormtalon's Lair,,,1,0,,,92289,1,1,250000,125000,0,0,1,125000,62500,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
dungeon,382,Stormtalon's Lair,matching_random_reward,10,Prime: Stormtalon's Lair,,,10,1,,,92290,1,1,500000,250000,0,0,0,0,0,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
dungeon,382,Stormtalon's Lair,matching_random_reward,14,Prime: Stormtalon's Lair,,,14,1,,,92290,1,1,500000,250000,0,0,0,0,0,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
dungeon,382,Stormtalon's Lair,public_event_reward_rotation_content,145,The Birth of a Corrupted God,12,1,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_public_event_reward_rotation_content_pending_event_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Public-event reward-rotation content is tracked, but retail completion needs event completion, schedule selection, reward grant, and client reward presentation smoke."
expedition,1232,Infestation,matching_random_reward,11,Prime: Infestation,,,11,1,,,92288,1,1,300000,150000,0,0,0,0,0,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
expedition,1232,Infestation,matching_random_reward,9,Infestation,,,8,0,,,92287,1,1,150000,75000,0,0,1,75000,37500,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
expedition,1232,Infestation,matching_random_reward,15,Prime: Infestation,,,15,1,,,92288,1,1,300000,150000,0,0,0,0,0,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
expedition,1232,Infestation,public_event_reward_rotation_content,95,Expedition: Infestation,18,3,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_public_event_reward_rotation_content_pending_event_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Public-event reward-rotation content is tracked, but retail completion needs event completion, schedule selection, reward grant, and client reward presentation smoke."
dungeon,1263,Skullcano,matching_random_reward,10,Prime: Skullcano,,,10,1,,,92290,1,1,500000,250000,0,0,0,0,0,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
dungeon,1263,Skullcano,matching_random_reward,14,Prime: Skullcano,,,14,1,,,92290,1,1,500000,250000,0,0,0,0,0,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
dungeon,1263,Skullcano,match_type_reward_rotation_content_random_normal,8,Skullcano,46,6,1,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_match_type_reward_rotation_content_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Match-type reward-rotation content is tracked, but retail completion needs queue completion, random/veteran selection, schedule grant, and client reward presentation smoke."
dungeon,1263,Skullcano,matching_random_reward,2,Skullcano,,,1,0,,,92289,1,1,250000,125000,0,0,1,125000,62500,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
dungeon,1263,Skullcano,public_event_reward_rotation_content,148,No Merrier Place Than Hell,13,1,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_public_event_reward_rotation_content_pending_event_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Public-event reward-rotation content is tracked, but retail completion needs event completion, schedule selection, reward grant, and client reward presentation smoke."
dungeon,1271,Sanctuary of the Swordmaiden,match_type_reward_rotation_content_random_normal,12,Sanctuary of the Swordmaiden,46,6,1,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_match_type_reward_rotation_content_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Match-type reward-rotation content is tracked, but retail completion needs queue completion, random/veteran selection, schedule grant, and client reward presentation smoke."
dungeon,1271,Sanctuary of the Swordmaiden,matching_random_reward,2,Sanctuary of the Swordmaiden,,,1,0,,,92289,1,1,250000,125000,0,0,1,125000,62500,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
dungeon,1271,Sanctuary of the Swordmaiden,matching_random_reward,10,Prime: Sanctuary of the Swordmaiden,,,10,1,,,92290,1,1,500000,250000,0,0,0,0,0,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_matching_random_reward_pending_queue_reward_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"Matching random reward row is tracked, but retail completion needs queue completion, reward roll/selection, grant behavior, and client reward presentation smoke."
