Event	Addons
LevelUpUnlock_Character_GearSlot_WeaponAttachment	2
LevelUpUnlock_Class_Attribute	2
LevelUpUnlock_GroupFinder_General	2
LevelUpUnlock_Inventory_Salvage	2
LevelUpUnlock_Path_Item	2
LevelUpUnlock_Path_Title	2
LevelUpUnlock_WorldMapDungeon_ProtogamesAcademyDominion	2
LevelUpUnlock_WorldMapDungeon_ProtogamesAcademyExile	2
LevelUpUnlock_WorldMapDungeon_UltimateProtogames	2
LuaError	2
MailWindowHasBeenClosed	2
MailWindowHasBeenToggled	2
MatchingRoleCheckCanceled	2
MatchingRoleCheckHidden	2
MatchLookingForReplacements	2
MatchStoppedLookingForReplacements	2
MatchVoteKickBegin	2
MatchVoteKickEnd	2
MatchVoteSurrenderBegin	2
MatchVoteSurrenderEnd	2
MouseWheel	2
OnGroup_Left	2
OnGroup_Remove	2
OpenAlpacaColorPicker	2
OpenSSToolkit	2
Options_UpdateActionBarTooltipLocation	2
OptionsUpdated_FFPreferences	2
OptionsUpdated_UnitFramesUpdated	2
PetDespawned	2
PetStanceChanged	2
PlayerCampStart	2
PlayerCreated	2
PlayerPathScientistScanData	2
PostItemAuctionResult	2
ProfessionUpdated	2
PublicEventStatsUpdate	2
PVPDeathmatchPoolUpdated	2
PVPMatchStateUpdated	2
PvpRatingUpdated	2
RefreshHealthShieldBar	2
RewardTrackActive	2
RewardTrackUpdated	2
SetNavPointFailed	2
ShowActionBarShortcutDocked	2
ShowOptions	2
ShowSCTMenu	2
StoryPanelDialog_Show	2
StunVGPressed	2
TargetedByUnit	2
ToggleAbilitiesWindow	2
ToggleAuctionWindow	2
ToggleReputationInterface	2
TradeskillEngravingStationOpen	2
UI_HealthChanged	2
UnitUpdated	2
UpdateCCStateStun	2
WindowManagementRegister	2
ZoneMap_OpenMapToQuest	2
_event_ToggleAllies	1
_event_ToggleGroup	1
_event_ToggleHostiles	1
_LCLF_SpellAuraApplied	1
_LCLF_SpellAuraRemoved	1
_LCLF_SpellCastSuccess	1
_LCLF_UnitDied	1
AbilityWindowHasBeenClosed	1
AccountInventoryUpdate	1
AccountWideSettingsInterfaceMenu	1
AchievementTrackerMenuClicked	1
ActionSetError	1
AddonEvent_MenuEntryClicked	1
AddonEvent_ToggleGalaxyLibrary	1
AddonEvent_ToggleLootHistory	1
AddonEvent_ToggleWhatTheRune	1
AddonFullyLoaded	1
AfAltGear_Show	1
AfRaidAnnouncerOn	1
AfYesSir_Configure	1
AlertMailInfo	1
AltometerHookItemTooltips	1
AMLoadIcons	1
AMPFinder_ShowHide	1
AnnounceDeath	1
Ayth_Quest_Config	1
BGChronOn	1
BR_OpenMenu	1
BuffTrackerMenuClick	1
BuffUptimeMenuClick	1
Builder_Show	1
ButtonRestoreDefaultSettings	1
CandyUI_CloseOptions	1
CandyUI_Loaded	1
CandyUI_OpenOptions	1
CandyUI_OptionsLoaded	1
CanVacuumChange	1
CashWindowAmountChanged	1
Catalog_ToggleBrowser	1
CET_Sound	1
ChallengeAreaRestriction	1
ChallengerConfigure	1
ChallengeRewardReady	1
ChallengeShared	1
ChallengeUpdate	1
CharachterCreated	1
CharacterFlagsUpdated	1
CharacterPost	1
CharacterShot_InterfaceMenu	1
CharacterUnlockedInlaidEldanAugmentation	1
CharacterWindowHasBeenClosed	1
ClosePowerViewMini	1
CombatLogBuildSwitch	1
CombatLogDurabilityLoss	1
CombatLogElderPointsLimitReached	1
CombatLogEndGameCurrencies	1
CombatLogExperience	1
CombatLogImmune	1
CombatLogKillStreak	1
CombatLogStealth	1
CombatLogString	1
CombatMeter_ShowMenu	1
CombatText_CloseOptions	1
CombatText_OpenOptions	1
Communicator_PlayerUpdated	1
Communicator_TraitChanged	1
Communicator_UpdateCallback	1
ConfigWindow_BtnReq_NCT	1
ConfigWindow_BtnRes	1
ConfigWindow_CfgUpd_NCT	1
ConfigWindow_DemReq	1
ConfigWindow_InitRep	1
ContentQueueStart	1
ContractGoodQualityChanged	1
CostumeCooldownComplete	1
CraftingSchematicComplete	1
CreddBrokerMenuClicked	1
Datachron_LoadHousingContent	1
DatachronCallCleared	1
DatachronCallIncoming	1
DatachronCallMissed	1
DecorPreviewOpen	1
Dialog_QuestShare	1
DisplayStatMenuClicked	1
DyeTrackerInterfaceList	1
EasyPlatEntryInterfaceMenu	1
EditBoxReturn	1
EGPlatesOptions	1
ErrorHandler_InterfaceMenuClick	1
event	1
Event_ArenaTeamCreatedOrDisbanded	1
Event_WarpartyCreatedOrDisbanded	1
EventGeneric_ConfirmRemoveAccountFriend	1
EventGeneric_PopulateCharacterList	1
ExitWindow_RequestParent	1
EzMessengerMaximise	1
EzSocialbarOptions	1
ForceResurrect	1
FovSlider	1
FriendshipAccountUpdateOnline	1
FriendshipLoaded	1
FriendshipSuggestedAdd	1
FriendshipSuggestedRemove	1
FriendshipSuggestedUpdate	1
GalacticArchiveArticleAdded	1
GalacticArchiveEntryAdded	1
GalacticArchiveRefresh	1
GalaxyMeterLogStart	1
GalaxyMeterLogStop	1
GameClickProp	1
GameClickUnit	1
GeminiConsole_ButtonClick	1
Generic_GEAR_PLUGIN	1
Generic_OnClickUI	1
Generic_OnJustCirclesOn	1
Generic_OnJustFriendsOn	1
Generic_OnJustGuildOn	1
Generic_OnJustNeighborsOn	1
Generic_OnShowGear	1
Generic_OnWShow	1
Generic_RTO	1
Generic_ToggleBuffFilter	1
Generic_ToggleFasterLootPlus	1
Generic_ToggleGuildAutoGreeter	1
Generic_ToggleLoot	1
Generic_ToggleMagicMarkers	1
Generic_ToggleOneVersion	1
GenericEvent_BotchCraft	1
GenericEvent_CloseGAReader	1
GenericEvent_CloseZoneCompletion	1
GenericEvent_Collections_DatacubePlayFromPL	1
GenericEvent_Collections_StopDatacube	1
GenericEvent_CopyURL	1
GenericEvent_DestroyCircles	1
GenericEvent_DestroyFriends	1
GenericEvent_HideInteractPrompt	1
GenericEvent_HUDAlerts_ToggleInteractPopoutText	1
GenericEvent_InitializeCircles	1
GenericEvent_InitializeFriends	1
GenericEvent_InitializeNeighbors	1
GenericEvent_InputChannel	1
GenericEvent_InputText	1
GenericEvent_InterfaceMenu_OpenContracts	1
GenericEvent_MinimizeZoneCompletion	1
GenericEvent_OnChannelsNames	1
GenericEvent_OpenCostumes	1
GenericEvent_OpenEldanAugmentation	1
GenericEvent_OpenFLexFashion	1
GenericEvent_OpenFriendsPanel	1
GenericEvent_OpenGuildPanel	1
GenericEvent_OpenNeighborsPanel	1
GenericEvent_OpenTMM	1
GenericEvent_OpenToSearchSchematic	1
GenericEvent_OpenToSpecificSchematic	1
GenericEvent_OpenToSpecificTechTree	1
GenericEvent_OpenZoneCompletion	1
GenericEvent_PerspectivePlates_GetAnchorOffsets	1
GenericEvent_PerspectivePlates_PerspectiveResize	1
GenericEvent_PerspectivePlates_RegisterOffsets	1
GenericEvent_PerspectivePlates_SetAnchorOffsets	1
GenericEvent_PlayerExitCancel	1
GenericEvent_Raid_ToggleLeaderOptions	1
GenericEvent_Raid_ToggleRaidTearOff	1
GenericEvent_Raid_ToggleRaidUnTear	1
GenericEvent_Raid_UncheckLeaderOptions	1
GenericEvent_ShowGalacticArchive	1
GenericEvent_ShowQuestLog	1
GenericEvent_StopPlayingDatacube	1
GenericEvent_ToggleCostumeQuickMenu	1
GenericEvent_ToggleMountCustomize	1
GenericEvent_ZoneMap_SetMapCompletionShown	1
GenericEvent_ZoneMap_ZoomLevelChanged	1
GridDoubleClick	1
Group_Changed	1
Group_Disband	1
Group_Leave	1
Group_QuestList	1
GroupBagItemAdded	1
GuideLine_Config	1
Guild_ToggleInfo	1
GuildFlags	1
GuildInfluenceAndMoney	1
GuildMessageOfTheDay	1
GuildName	1
GuildPvp	1
GuildQueueStateChanged	1
GuildWindowHasBeenClosed	1
HecklerConfigure	1
HideIncapacitationBar	1
HideInterfaceButton_ShowHide	1
HousingActivateDecorIcon	1
HousingBuildComplete	1
HousingBuildStarted	1
HousingButtonCrate	1
HousingButtonLandscape	1
HousingButtonList	1
HousingButtonRemodel	1
HousingButtonVendor	1
HousingConfirmReplace	1
HousingDeactivateDecorIcon	1
HousingDestroyDecorControlOpen	1
HousingDestroyDecorControlOpen2	1
HousingEditModeChanged	1
HousingEnterEditMode	1
HousingFreePlaceControlClose	1
HousingFreePlaceDecorPlaced	1
HousingHookDecorPlaced	1
HousingNamePropertyOpen	1
HousingResult	1
HousingResultInterceptResponse	1
HousingSelectHook	1
HousingSelectIvalidHook	1
HousingStorageListRecieved	1
HudAlert_ToggleLoreWindow	1
ICCommReceiveThrottled	1
InitiateSpecInspect	1
InterfaceMenu_InvokeLoginIncentives	1
InterfaceMenu_Keybindings	1
InterfaceMenu_OpenForgeUI	1
InterfaceMenu_OptiPlates	1
InterfaceMenu_ToggleLoreWindow	1
InterfaceMenu_ToggleSets	1
InterfaceMenuToggleWildRace	1
InvokeFriendsList	1
InvokeNeighborsList	1
InvokeScientistExperimentation	1
InvokeSettlerBuild	1
InvokeSoldierBuild	1
InvokeTaxiWindow	1
ItemAuctionExpired	1
ItemAuctionOutbid	1
ItemAuctionWon	1
ItemCancelResult	1
ItemConfirmClearRestockOnEquip	1
JobFinished	1
JoinResultEvent	1
Journalism_ToggleWindow	1
KInterfaceClick	1
KuronaBarsClick	1
KuronaFramesClick	1
LastFive_ShowMenu	1
LevelUpUnlock_Customization_Mount	1
LevelUpUnlock_GroupFinder_Adventures	1
LevelUpUnlock_GroupFinder_Arenas	1
LevelUpUnlock_GroupFinder_Dungeons	1
LevelUpUnlock_GroupFinder_Warplots	1
LevelUpUnlock_PvE_Contracts	1
LevelUpUnlock_PvP_Battleground	1
LiveEvent_ToggleWindow	1
LiveEvent_WindowClosed	1
LogoutInterfaceMenuClick	1
LootItemSentToTradeskillBag	1
LQTA_ToggleOptions	1
LUIBossMods_ToggleMenu	1
MailAddAttachment	1
MailResult	1
MatchingAverageWaitTimeUpdated	1
MatchingGameAccepted	1
MatchingPenaltyUpdated	1
MHInterfaceClick	1
MountItOn	1
MountUnlocked	1
MouseButtonDown	1
MoveList	1
Nameplacer_UnitNameplatePositionChanged	1
NameView_ShowMenu	1
NavMate_ArrivedAtWaypoint	1
NavMate_WaypointAdded	1
NewKiruBox	1
Nicknames_Show	1
ObjectiveTrackerUpdated	1
OJReloadAssignments	1
OJReloadEncounters	1
OJReloadGroups	1
OJReloadParty	1
OnBarColorText	1
OnChannelAliasChanged	1
OnChannelColorBtn	1
OnCloseWind	1
OnConfigurePratLite	1
OnDETOptions	1
OnEmoteBlend	1
OneVersion_ReportAddonInfo	1
OnFontChange	1
OnFriendListOn	1
OnFriendshipAccountDataUpdate	1
OnFriendshipUpdate	1
OnFriendshipUpdateOnline	1
OnICBlend	1
OnInstruction	1
OnMentionBlend	1
OnOOCBlend	1
OnOpenGuildPanelOn	1
OnResetHistory	1
OnRPChannel	1
OnRPFilterChanged	1
OnSetEmoteColor	1
OnSetMentionColor	1
OnSetOOCColor	1
OnSetSayColor	1
OnShowPanelOn	1
OnUpdateDataPlayers	1
OnVideoProfilesOptions	1
OnWatchYoPlants	1
OpenAMPBuilds	1
OpenContentFinderToUnlock	1
OpenDailyLogin	1
OpenHarvesterConfiguration	1
OpenNavigatorConfiguration	1
OpenPowerViewMini	1
OpenQueueWindow	1
OpenSlashCommand	1
OpenWatcherConfiguration	1
OptionsUpdated_HUDInteract	1
OptionsUpdated_LocalQuestTracker	1
OptionsUpdated_LocalQuestTrackerAdvanced	1
OptiPlates_ProfileCreated	1
OptiPlates_ProfileRemoved	1
OrionChallengesOrderChanged	1
OrionChallengesToggle	1
OwnedItemAuctions	1
PartyJoined	1
PathChangeResult	1
PathLevelUp	1
PetCustomizationUpdated	1
PetFlairUnlocked	1
PetOptionsMenuClicked	1
PL_TabChanged	1
PL_ToggleAchievementWindow	1
PlayerBadger_ShowMenu	1
PlayerCampCancel	1
PlayerPathScientistScanBotCooldown	1
PlayerPathScientistScanBotDeployed	1
PlayerPathScientistScanBotDespawned	1
PlayerPathScientistScanStart	1
PlayerPathShow	1
PlayerPathShowWithData	1
PlayerPathUpdate	1
PlayerRealmName	1
PlayerRoll	1
PluginManagerMessage	1
PluginManagerSearchSelected	1
PlugPreviewClose	1
PlugPreviewOpen	1
PotatoEditor	1
PotatoReset	1
PotatoResetPopulate	1
PotatoSettings	1
ProgressClickWindowCompletionLevel	1
