Addon	Categories
ChargeUI_1.06	Challenge,Crafting,Events,GameLib,Group,Housing,Loot,Matching,Network
ChatAdvanced-2.4.5	Events,GameLib,Matching
ChatCommandsImproved_2.4.1	Challenge,Housing
ChatEmotes+v1.0.2	Events,GameLib
ChatFilter-15.0	Events,GameLib
ChatFixed	Crafting,Events,GameLib,Group,Matching,Network
ChatFontSize_1.0.0	Events,GameLib
ChatLinks32	Events,GameLib
ChatSounds-0.99	Events,GameLib
ChatSplitter	Events,GameLib,Matching
ChatWhoIs	Events
CheatSimon_1_14_1	Events,GameLib
ChoicesHelper	Events,GameLib
Chompacabra	Events,GameLib
CircleMeMaster_V2.0e	Events,GameLib,Network
CircleShortcuts+v1	GameLib
CitBand	Events,GameLib,Network
Clairvoyance-1.6	Events,GameLib
ClassicQuestDialog_2.2.1.2	Crafting,Events,GameLib
Clean_XP_Bar-1.3	Events,GameLib
ClearInvisibleTarget	Events,GameLib
ClearNameplates-1.6	Challenge,Events,GameLib
ClearTarget-1.1	Events,GameLib
Clockstalker-1.1.1	Events,GameLib
ColorPicker-0.6.1	GameLib
CombatEvents_v1	Events,GameLib
CombatLogFix+-+6.0	Events
CombatLogPatch	(none)
CombatMeter-70923.0	Events,GameLib,Group,Matching
CombatMusicVolume_v1.0.3	Events,GameLib
CombatProficiencyTheory	Events,GameLib,Network
CombatText_5.8.2015	Challenge,Events,GameLib,Matching
CommodityStats-0941256-alpha	Crafting,Events,GameLib,Mail,Market,Matching
CommodityStatsPluginExamples_v2	(none)
communicator-v0.0.1-beta	Events,GameLib,Matching,Network
CompactChallenges	Challenge,Events,GameLib
CompactXPBar-v1.13	Events,GameLib,Group
ConfirmItemRewardDialog	(none)
ConstrainOff	Events
ContextMenuPlayerJoin_0_90	GameLib,Group
Contractor	Events,GameLib
ContractsFixed	Events,GameLib
ControllerHelper-1.2	Events,GameLib
CooldownTimeline	Events,GameLib
Costume+Manager+v2.2.3	Events,GameLib
CostumeNames-v3.7	Events,GameLib
CostumeQuickMenu_1.0.4	Events,GameLib
CostumesExpanded-15.0	GameLib
CostumesFix-1.4	GameLib
CraftDismount_1.0	Crafting
CraftingMountFix-v1.1	Events
CrashCourse	Events,Group,Market
CREDDBroker_v0.4	Events,GameLib,Market
CreddCut-1.1	Events,GameLib,Market,Matching
CrowdControlUIFix	Events,GameLib
Cupcake+-+1.0a	Events,GameLib
CurrencyCount	Events,GameLib
CurrencyMonitor_release10a	Events,GameLib,Market
CustomFoV	Events,GameLib
CustomTelegraphs	Events,GameLib
da-float-text-v0.1	Events,GameLib
DaBomb+-+Drop+6	Events,GameLib,Network
DaemonSense+-+Drop+6	Events,GameLib
DaiGUI-1.0.3	GameLib
DamageLocator	Events
Darkie1_1	Events,Housing
DarkMeter+0.6.2	Crafting,Events,GameLib,Group,Matching
DearCupcake-1.1.1	Events,GameLib,Matching
DeathCounter	Events,GameLib
DeathImprovedv1.3.1	Events,GameLib
DeathIT	Events,GameLib
DeathRecap1.1API9	Events,GameLib
DeathReport-v1.1b	Events,GameLib,Group,Network
DecorKeybinds	Events,GameLib,Housing
DefaultMount_0.3	Events,GameLib
Defrag	Events,GameLib,Group
DetailedExperienceText-1.197	Events,GameLib
DevHyperLink-V1.3.3	Challenge,Events,GameLib,Housing,Matching
DingDong-1.0.0	Challenge,Events,GameLib,Matching
DisablePopUps_v12.01	Events,GameLib
DiscoTelegraphs_0.4.1	Events,GameLib
DismissBots	Events,GameLib
DismissPet_0.5	Events,GameLib
DisplayStat_0.9_01082014	Events,GameLib
DistanceToTarget	GameLib
DistanceTravel	GameLib
dkp_manager1.1	Events,GameLib,Group,Loot,Market
Doom_CooldownPulse-1.10	Crafting,Events,GameLib
DoubleGathererAPI12	Crafting,Events,GameLib
DPSDisplay_1-2	Events,GameLib
DPSStats1.1	Events,GameLib
DPSStats_1.0.1	Events,GameLib
drFloatText-1.0	GameLib
DruseraBossMods	Events,GameLib,Group,Matching
DuelTool	Events,GameLib
DungeonGuinnessBook_1.0.1	Events,GameLib,Group
DungeonHelper08	Events,Group
DungeonMedalsEnhanced	Challenge,Events,GameLib
DungeonMedalsEnhancedAPI11v1_1_1	Events
DungeonStats	Events,GameLib
DyeDummy_V1.1	GameLib
DyePreview_0_0_6	GameLib
DyeTracker-1.1.4	Challenge,Events,GameLib
EasyMatchMaker-2.6	Challenge,Events,GameLib,Group,Matching
EasyPlatEntry-15.0	Events,GameLib
EasyReload-v1.0.0	Events
EepieGeepies_1_2	Events,GameLib,Group,Loot
EGLink	Events,GameLib
EGPlates	Challenge,Events,GameLib,Group,Matching
EJR_9a	Events,GameLib
EldanScrolls-v1.7	Challenge,Events,GameLib,Housing,Matching
EldarMind-1.0.3	Events,GameLib,Matching
ElderBar_v2.2.0	Events,GameLib,Group,Matching
ElderDump	Events
ElderSpellSwap_0.6	Events,GameLib
ElderTime_1.1.2	GameLib
ElderWatch_1.1	Events,GameLib
Emotie+1.1	Events,GameLib,Matching
Enabler_0.3	Events,GameLib
EnemyHPBars_045_2	Events,GameLib,Group,Network
EngiBar	Events,GameLib
EntSpy1.74	Challenge,Crafting,Events,GameLib
EnvironmentWatcher-0.4.2	Events,GameLib
EpicFloatText	Challenge,Crafting,Events,GameLib,Matching
EpiCrit-1.0.9a	Events,GameLib
ErrorHandler	Events,GameLib
EsperPP-11.0.0.1	Events,GameLib,Matching
EsperResource	Events,GameLib
ESQ_9a	Challenge,Crafting,Events,GameLib
ETooltip_1_37	Challenge,Crafting,GameLib,Housing,Loot
EventManager	Events,GameLib,Network
ExportRoster	Events,GameLib,Group
ExtendedChatMacros_v1.0.3	Events,GameLib
EzMessenger+0.5d	Events,GameLib
EzSocial+Bar+1.1	Events,GameLib,Mail
FailCheck_v1_1	Challenge,Events,GameLib,Group
Familisquareity	Challenge,Events,GameLib,Group
FasterLoot_0-1-0	Events,GameLib,Housing,Loot
FasterLootPlus-FasterLootPlus-0.8.5beta4	Crafting,Events,GameLib,Group,Housing,Loot,Market,Matching
FastHoldToCast	Events
FastTargetFrame_v2	Events,GameLib,Group
FinalFive	Events,GameLib
FindSpellId+-+1.0	(none)
FindYourHealers-v0.02	Events,GameLib,Group,Matching
Fix_v0.0.3	GameLib
FixCastBarPosition	(none)
FixedChatLog	Crafting,Events,GameLib,Group,Matching,Network
FixedDatachron	Events,GameLib,Matching
Fixit-v1.1.3	(none)
fixobjectivetracker-v1.0.0	Events,GameLib
FlashyLoot-1.4	Events,GameLib
FLexFashion_v.1.1.23_Beta	Events,GameLib,Market
FLexFurnish_v1.0	Crafting,Events,GameLib,Housing
FlickerAffiliation	GameLib
Flip0.1.13	Crafting,Events,GameLib,Market
FlyHUD_1.2	Events,GameLib
FocusUp	Events,GameLib
ForDummies1.1.0	Events,GameLib
ForgeUI+v0.5.13	Challenge,Crafting,Events,GameLib,Group,Housing,Loot,Matching
ForgeUI_ActionBarsExt+v1.0	(none)
ForgeUI_ActionSets	Events,GameLib,Matching
ForgeUI_NeedGreed_Solo	Events,GameLib,Loot
ForgottenChat_v2.2	Events,GameLib,Group,Housing,Matching
FramerateMonitor_v1.0.3	Events,GameLib
FrenemyTelegraphs-v1.0.1	Events,GameLib
FriendList_MassDelete	Events,GameLib
FriendsForAll	Events
FrostMod_AdRevert	Events
FrostMod_CombatText	GameLib
FrostMod_RoleFix	Events,GameLib
FrostMod_ThreatBall	Events,GameLib
FrozenPortraits	Events,GameLib
FSLootTracker-FSLootTracker-3.0.4	Events,GameLib,Group,Loot,Matching
GadgetBugFix_0.4	Events,GameLib
GalaxyLibrary-v0.4.0	Crafting,Events,GameLib
GalaxyMeter-21	Events,GameLib,Group,Matching
GameReadySound-1.0.5	Events
GatherBuddy	Events,GameLib
GatherBuddyImproved-2.9	Crafting,Events,GameLib,Matching
Gear_v2.5.0	Challenge,Events,GameLib,Housing
GeminiAddon-1.1.6	Events,GameLib,Matching
GeminiConsole-1.2.4	Events,GameLib,Matching
GeminiProfiler-1.0	Events
generalist-v2.1	Crafting,Events,GameLib,Housing
Gerber_Baby_v1.4	Events,GameLib,Group
GetMembers	Events,GameLib,Group
GoldDollars	Events,GameLib,Market
GoonbatLogv1.63	Events,GameLib
GotHUD-1.0.1	Crafting,Events,GameLib
GoTimerv0.2a	Events
Graph-v0.1	Events,GameLib
GRB	Challenge,Crafting,Events,GameLib,Group,Housing,Loot,Mail,Market,Matching,Network
Greedy-1.2	Crafting,Events,GameLib,Loot
Grid-70923.0	Events,GameLib,Group
Grinder	Events,GameLib
GroupFinder-v0.4	Events,GameLib,Group,Matching,Network
GroupRadar+1.02.09+release	Events,GameLib,Group
GroupRadar+1.02.11	Events,GameLib,Group
GroupRealLevel_2.0	Group
GTAS_ReadyCheck	Events,GameLib,Group
GuardMiniMap_1.34	Challenge,Crafting,Events,GameLib,Group,Network
GuardZoneMap_2.0	Challenge,Crafting,Events,GameLib,Group,Mail,Market,Network
GuideLines	Challenge,Crafting,Events,GameLib
GuildAlias_1.1.0	GameLib
GuildAutoGreeter-GuildAutoGreeter-1.10.0	Events,GameLib,Network
GuildBankTools-v4.6	Crafting,Events,GameLib
GuildCount_V1.3	Events,GameLib
GuildGrudge-1.3	Events,GameLib
GuildieKarma-2.0.2-release	Events,GameLib
GuildLink_1	Events
GuildMail-1.1	Events,GameLib
GuildMotd-v0.3	Events,GameLib
GuildNation-v1.2	Events,GameLib,Matching,Network
GuildPixies-0.85	Events
GuildRosterFix	(none)
GuildRosterStutterFix_1.4	(none)
GuildRosterTools	Events,GameLib
GuildWelcome_v0.0.2	Events
HacksByAramunn-16.0	Events,GameLib,Group,Market,Matching
HAK-v0.921	Events,GameLib,Housing
happygardner-v1.0.2	Events,GameLib
Harvester-v1.0.6a	Crafting,Events,GameLib
HarvestingSkillMonitor_v1.1.3	Crafting,GameLib
HarvestMe-v1.0.6	Crafting,Events,GameLib
HarvestPlates	Events,GameLib
HealBuddy-v1.14	Events,GameLib,Group
Healie+3.2c	Events,GameLib,Group
Heckler+v1.2	Events,GameLib,Group,Network
Hephaestus-2.2.1a	Challenge,Crafting,Events,GameLib,Housing,Matching
HideActionBarShadowV102	GameLib
HideAfterVote	(none)
HideBuffs-1.2	(none)
HideCTFContainer1-0	(none)
HideInterfaceButton1-4	Events
HideTitles	(none)
HousingBuffReminder_1.2	Events,GameLib,Housing
HousingDecorSetManager	Events,GameLib,Housing
HousingRepairAlerts-1.4	Events,GameLib,Housing
HousingRepairWatcher1.0.4	Events,GameLib,Housing
HousingToolboxPro	Events,GameLib,Housing
HousingTour_v4	Events,GameLib,Housing,Network
HPSStats1.0.0API10	Events,GameLib
iconloot-v2.4	Events,GameLib,Matching
ImBusy_v1.1.8	(none)
ImpaleAssistV1	Events,GameLib
InFocus	Events,Group
InfoPlates.1.1.5	Events,GameLib
InfoWidgets	Events,GameLib
InstanceTimer_0.3.1	Events,GameLib
InstantQuestAccept_1.5.3	Crafting,Events,GameLib
InstantQuestComplete_0_0_3	Events,GameLib
Instigator_0.5	Events,GameLib
InterfaceMenuFix-v0.2	(none)
InterruptMe-v0.4.2	Events,GameLib
InterruptorV2.8.3	Events,GameLib,Matching
InterruptThat	Events,GameLib,Group,Network
InterruptThat+0.0.4	Events,GameLib,Group,Network
InvAccept	Events,Group
InviteFilter_1_0	Events,GameLib
InviteHelper-v0.2	Events,Group
IronColorPicker	(none)
IronCombatText	Challenge,Crafting,Events,GameLib,Matching
ItemFinder	GameLib,Housing
Itemlink	Events
ItemPreviewImproved+MountTracker_v0.5	Events,GameLib
itempreviewimproved-v2.3	Challenge,Events,GameLib,Group,Housing,Loot,Market,Matching
jabbithole-0.2.1	Challenge,Crafting,Events,GameLib,Group,Housing
Jita_0.6.4_release	Challenge,Crafting,Events,GameLib,Group,Housing,Matching,Network
JoinARealm121	Events,GameLib
JoinGameMoveable_1.2.1	Events,Matching
Journalism_0.80	Events,GameLib,Network
JunkIt-1.3	Challenge,Crafting,Events,GameLib,Housing
JustSocial_0.0.6	Events,GameLib,Housing
KatiaBuilderToolkit	Events,GameLib,Housing,Mail,Market,Matching,Network
KatiaChatter	Events,GameLib,Matching
KeybindFreedom-v1.1	Events,GameLib,Matching
KillingBlow_0.0.4	Events,GameLib
KillingTime+1.0.9	Events,GameLib
Killroy-1.8.4.2-release	Events,GameLib,Matching
Kinetica_v1.0	Events,GameLib
KiruBox	Events,GameLib
KiruChallenge	Challenge,Events,GameLib,Group,Housing,Matching,Network
KiruTweaks	Crafting,Events,GameLib,Housing,Market
KittPad	Challenge,Events,GameLib
KnownSchematics-r3	(none)
KuralakHelperV23	Events,GameLib,Group
KuronaBagsV4.5.6.6	Crafting,Events,GameLib
KuronaBarsV0.13	Events,GameLib,Group,Housing
KuronaFramesV3.6.5.2	Events,GameLib,Group
KuronaPetsV130	Events,GameLib,Group
LagMeter-3	GameLib
LastFive-70923.0	Events,GameLib
LatencyMonitor-v2.2	Events,GameLib
LeaveGroupWarning-0.2.1	Group,Matching
LetsGamble_1.03	Events,GameLib,Group
LFG+Board	Events,GameLib,Network
LFRP_R-1.1.5	Events,GameLib,Matching,Network
LibCombatLogFixes-1.0_rev1	Events,GameLib
LibHash-v1.2	(none)
LibSimpleBars-1.0_rev2	GameLib
LilVendor-r8	Challenge,Events,GameLib,Housing
LinkAll	GameLib
LinkEquippedItems+v0.1.1	GameLib
LinkMeHarder-v1.01	Events,GameLib
ListDyes	Events,GameLib
ListNearbyPlayers	Events,GameLib
LiveStats+10-3-2015	Events,GameLib
LocalQuestTracker	Events,GameLib,Matching
LocalQuestTrackerAdvanced_v1.1.3	Challenge,Crafting,Events,GameLib,Matching
Lockdown-1.6-1	Challenge,Events,GameLib
LookAtMe_1.0.1	Events,GameLib,Network
LootBot-v1.2.11	Events,GameLib,Housing,Loot
LootRollEnhanced-1.4.6	Events,GameLib,Group,Loot,Matching
LootSquid_v5_23	Events,GameLib,Group,Loot,Matching
LootTable2-v0.1.6	Challenge,Events,GameLib,Mail
LoreKeep_v1.0.8	Events,GameLib
LuaInvoke	(none)
Lucky	Events,GameLib
LUI_AugmentorHelper	Events,GameLib,Mail
LUI_Aura	Crafting,Events,GameLib,Group,Mail,Network
LUI_BossMods	Challenge,Events,GameLib,Group,Mail,Network
LUI_Frames	Events,GameLib,Mail,Matching
LUI_HideSignature	(none)
LUI_Holdem	Events,GameLib,Group,Mail,Network
LUI_LootAlert	Events,GameLib,Group,Loot,Mail,Network
LUI_Media	(none)
LUI_TargetFrame	Challenge,Events,GameLib,Group
LUI_WelcomeWindow	Events,GameLib
LUI_ZoneMap	Challenge,Crafting,Events,GameLib,Group,Mail,Market
MaelstromHelper_v6	Events,GameLib
MagicCrateBox-v1.01	Events
MagicMail-1.7.3	Events,GameLib,Housing,Mail,Market,Matching
MagicMarkers-MagicMarkers-1.5.1	Events,GameLib,Group,Matching,Network
MagnumTracker	Events,GameLib
mailautotext-v3.5.1	Events,GameLib,Mail,Matching
MailFix	(none)
MailHelper-v1.3.0	Events,GameLib,Mail,Market,Matching
MainName_1_0_5	GameLib
MapPingMarker_1.2	Events,GameLib,Group,Network
MarketplaceAuctionEnhanced_v1.0	Housing,Market
MarketplaceToVendor-0.2.3	Events,Market,Matching
Marquee-1.0.7	Events,GameLib
MasterLootImproved	Events,GameLib,Group,Loot
MasterLootRandom_2_00	GameLib,Loot
MatchQ_v0.8a	Events,GameLib,Group,Matching
Max_Loadouts-v1.14	Events,GameLib,Matching
MaxMoneyRecord	Events,GameLib
MedalTracker	Events,Housing
Medicate+1.7	Events,GameLib
Medikit+1.4	Events,GameLib
MinimalistPlates_1.4	Challenge,Events,GameLib
MinimalistResourceBars_61109.0	Events,GameLib
MischhBossModules	Challenge,Events,GameLib,Group,Network
MischhBuddyModule	Events,GameLib
MischhCombatTexts	Challenge,Crafting,Events,GameLib,Matching
MischhEssenceTracker	Events,GameLib,Group,Matching
MischhRaidFrames	Events,GameLib,Group,Loot,Matching,Network
MischhTargetingModule	Events,GameLib
MJPriority_1.0	Events,GameLib
MobStats	Events,GameLib
MoOooo-13.5.mooo	Events,GameLib
MOTDOnLogin1.0	Events
MountIt-v1.2	Events,GameLib
MountSafe-1.3	Events,GameLib
MountSaveFix-v3	Events,GameLib,Housing
MouseLockUtil	GameLib
MovableFrames	Events,GameLib
MovableFrames-v1.11	Events,GameLib
MrFancyPants-2.0.3	Challenge,Events,GameLib
Multicraft	Crafting,Events
MyScanbotAndMe	Events
Myth+LootCouncil-MythLC_v1.4	Events,GameLib,Group,Loot
MyVendorV0.4	Challenge,Events,GameLib
nameplacer-v1.0.0	Events,GameLib
Nameplates_Remix	Challenge,Events,GameLib
NameView-70923.0	Challenge,Events,GameLib,Matching
Narcis	Events,GameLib
Navigator-v1.1.0	Challenge,Events,GameLib
NavMate-0.9.5	Challenge,Crafting,Events,GameLib,Group,Matching,Network
NC_DailyReward	Events
NCT+vB.2	Events,GameLib
NearbyPlayers_2.4_release	Events,GameLib
NeedVsGreedLite-v3.2	Events,GameLib,Loot,Matching
Needy	Crafting,Events,GameLib,Loot
NeighborNotes_256	Challenge,Crafting,Events,GameLib,Group,Housing,Mail,Matching,Network
Newton-1.2a	Events,GameLib,Matching
NexTLab_WBN-1-1-0	Events,GameLib,Group,Mail,Network
NexTLabChat-1-0-0-9a	Challenge,Crafting,Events,GameLib,Group,Matching,Network
NextLabLootClient	Crafting,Events,GameLib,Group,Loot,Market,Matching,Network
NexusFire-Release_1.2	Events,GameLib,Matching
NexusMeter-1.1.4	Events,GameLib
NexusMiniMap_2_0_1	Challenge,Crafting,Events,GameLib,Group
NexusPanel2.0.4.1	Crafting,Events,GameLib,Mail
NexusPanel_v1_5_1	Crafting,Events,GameLib,Mail
NexusTime_0.3	Events,GameLib
Nicknames+v0.1.3+reupload+2	Events,GameLib
NoAlienChat-3.3	GameLib
NoHeartAttack_0.5	Events,GameLib,Group
NoisyQ_1.2.1	Events,GameLib
NoOfflineRosterv1.1	Events,GameLib,Matching
NoSwiping3	Events,GameLib,Market,Matching
NotNowMasterLoot_v1.0.1	Events,Loot
NotThatSpecial+API+9	(none)
NPCBubbles	Events,GameLib,Network
NpcChitChat-2	Events
NPrimeActionSetMacros_1.0	(none)
NPrimeCommodityBroker_1.0	Events,GameLib,Market
NPrimeMinimap_1.2.2	Challenge,Crafting,Events,GameLib,Group
NPrimeNameplates_1.3.5	Challenge,Events,GameLib
NPrimeNameplatesMerge1.2	Challenge,Events,GameLib
NSkillSwap+v1.0	Events,GameLib
ObjectiveTracker_FD_PlusFIX	Events,GameLib
Odyssey	Events,GameLib,Group,Matching
OhmnaHelperV20	Events,GameLib,Group
OhmnaKnockbackAssist	Events,GameLib,Group,Matching
OneJob-v0.6.1-release.	Events,GameLib,Group,Matching
OpenBagsAtVendor8	Events,GameLib
OpenHouse	Events,GameLib,Housing
OptiPlates_4.10	Challenge,Events,GameLib,Group
OrionChallenges-1.6.1	Challenge,Events,GameLib
outbid-release-1.6	Events,GameLib,Mail,Market,Matching
ParaseleneWildRace-0.5.2	Events,GameLib,Housing,Network
PathAbilityPicker	Events,GameLib
PCB	GameLib
Peephole-1.0.5	Events,GameLib,Housing,Matching
PerbMedicResource_1.3	Events,GameLib
PersistentNameplates-1.0.4	Challenge,Events,GameLib
Perspective-1.4.0	Challenge,Crafting,Events,GameLib,Group,Mail,Market,Matching
Perspective_Redux	Challenge,Crafting,Events,GameLib,Group,Mail,Market,Matching
PerspectivePlates-v15.0.0	Events,GameLib
PetOMatic-2.2.2-release	Events,GameLib,Group
PetPatrol_v1.1	Events,GameLib
Pets	GameLib
PieMenu-1.2.3	Challenge,Events,GameLib,Group,Market,Matching
PlatesOfAwesome_0.1.5a	Challenge,Events,GameLib
PlayerBadger-70923.0	Events,GameLib
PlayerNotes-1.0	GameLib,Group
Playtime_v2.2	GameLib
PoopEsperInnate-9.3.0.6	Events,GameLib,Matching
PotatoTweaks-v0.4.0	Events,GameLib,Group,Loot
PotatoUI_3.0.0	Challenge,Crafting,Events,GameLib,Group,Network
Potted-9.0.1.10	Events,GameLib,Group,Matching
PowerView+v1.4	Events,GameLib
PPet_v0.3	(none)
PratLite	Events,GameLib,Group,Housing,Matching
Precog_Range	Events,GameLib,Group
Prestige_v1.1.6	Events,GameLib,Mail
PrestigeWatcher	Events,GameLib,Matching
Primula	Events,GameLib
ProcsHUD_1.7.4	Events,GameLib
ProfitFlipper-1.3	(none)
ProtoMail-0.3.5	Events,GameLib,Housing,Mail
ProtomonGo	GameLib,Housing,Network
protostar-multifunction-tool-v3.0	Crafting,Events,GameLib,Matching
PVPTab	Events,GameLib,Network
QCGR	Events,GameLib
QtCooldown	Crafting,Events,GameLib
QtPerformance	Events,GameLib
QuestCleanup1.2	Crafting,Events
Questline_1.7_release	Events,GameLib,Matching,Network
QuestLogImproved-15.1	GameLib
QuestOverlist_1.3.4	Events,GameLib
QuestSpam_v0.72	Events,GameLib,Group
QuestTrackerHide	Events,GameLib
QuestTrackerTimerFix_0.1	Challenge,Events,GameLib,Matching
QuestTrackerTweaks-0.2.1	GameLib
QueueView-70923.0	Events,GameLib,Group,Matching,Network
QuickDialog-v1	Challenge,Crafting,Events,GameLib
QuickDrawTracker	Events,GameLib
QuickFrames	Events,GameLib,Group
QuickFrames_Interrupts	Events,GameLib,Group,Network
QuickMarks_v0.2	Events,GameLib
QuickPerformance_v1.1	Events
QuickResponseTracker	Events,GameLib
QuickRez	Events,GameLib
QuitNow1-3	Events,GameLib,Housing
Radar_0.41	Events,GameLib
Raid_Sheet	Events,Group
RaidCore-6.5.5	Events,GameLib,Group,Matching,Network
Raiderino_1.3.8	Events,GameLib,Group,Network
RaidOpsLootDivison+v0.3	Crafting,Events,GameLib,Group,Loot
RaidOpsMasterLoot+v1.15	Events,GameLib,Group,Loot,Network
