source_table,source_id,source_name,chosen_creature2_id,decision,reason,reviewer,reviewed_at
creatures,104,Rootbrute Grimspore,12212,approved,next_slice_dm_fnd_001: existing_entity_spatial nearest 1.136 with 81 spatial matches and 21 entity matches plus Q3797 TargetGroup 1177/6406 and focused kill-credit/fallback-spawn tests support the reviewed objective relation,Codex DM-FND review,2026-06-17
creatures,18294,Kuralak the Defiler,52969,approved,pe_bridge_review: existing_entity_spatial nearest 0.776 with 13 spatial matches and 1 entity matches; supports public event 159:From Archives into Armies; priority 5539,Codex PE bridge review,2026-06-17
creatures,25826,Gloomclaw,30498,approved,pe_bridge_review: existing_entity_spatial nearest 1.633 with 16 spatial matches and 1 entity matches; supports public event 157:Reconstructive Memory Dive; priority 2386,Codex PE bridge review,2026-06-17
creatures,720,Aethros,32703,approved,pe_bridge_review: existing_entity_spatial nearest 3.779 with 74 spatial matches and 1 entity matches; supports public event 145:The Birth of a Corrupted God; priority 2321,Codex PE bridge review,2026-06-17
creatures,28283,Bev-O-Rage,61463,approved,pe_bridge_review: existing_entity_spatial nearest 0.374 with 74 spatial matches and 1 entity matches; supports public event 594:Ultimate Protogames; priority 2237,Codex PE bridge review,2026-06-17
creatures,3077,Aethros,32703,approved,pe_bridge_review: existing_entity_spatial nearest 3.779 with 69 spatial matches and 1 entity matches; supports public event 145:The Birth of a Corrupted God; priority 2176,Codex PE bridge review,2026-06-17
creatures,1929,Forgemaster Trogun,32531,approved,pe_bridge_review: existing_entity_spatial nearest 10.131 with 42 spatial matches and 1 entity matches; supports public event 161:Forging an Armageddon; priority 1969,Codex PE bridge review,2026-06-17
creatures,1933,Slavemaster Drokk,32536,approved,pe_bridge_review: existing_entity_spatial nearest 5.546 with 70 spatial matches and 1 entity matches; supports public event 161:Forging an Armageddon; priority 1835,Codex PE bridge review,2026-06-17
creatures,27408,Avatus,30505,approved,pe_bridge_review: existing_entity_spatial nearest 0.700 with 1 spatial matches and 1 entity matches; supports public event 157:Reconstructive Memory Dive; priority 1621,Codex PE bridge review,2026-06-17
creatures,1315,Grond the Corpsemaker,32534,approved,pe_bridge_review: existing_entity_spatial nearest 17.270 with 6 spatial matches and 1 entity matches; supports public event 161:Forging an Armageddon; priority 1524,Codex PE bridge review,2026-06-17
creatures,25654,Grand Warmonger Tar'gresh,48177,approved,pe_bridge_review: existing_entity_spatial nearest 1.578 with 64 spatial matches and 1 entity matches; supports public event 157:Reconstructive Memory Dive; priority 1482,Codex PE bridge review,2026-06-17
creatures,25669,Frostbringer Warlock,31674,approved,pe_bridge_review: existing_entity_spatial nearest 1.088 with 66 spatial matches and 1 entity matches; supports public event 157:Reconstructive Memory Dive; priority 1126,Codex PE bridge review,2026-06-17
creatures,3642,Blazing Crewman,46714,approved,pe_bridge_review: existing_entity_spatial nearest 0.921 with 89 spatial matches and 2 entity matches; supports public event 390:Shiphand: Space Madness; priority 991,Codex PE bridge review,2026-06-17
creatures,28294,Bev-O-Rage,61463,approved,pe_bridge_review: existing_entity_spatial nearest 0.374 with 83 spatial matches and 1 entity matches; supports public event 594:Ultimate Protogames; priority 683,Codex PE bridge review,2026-06-17
creatures,25807,Grand Warmonger Tar'gresh,48177,approved,pe_bridge_review: existing_entity_spatial nearest 6.902 with 10 spatial matches and 1 entity matches; supports public event 157:Reconstructive Memory Dive; priority 158,Codex PE bridge review,2026-06-17
creatures,25891,Gloomclaw,30498,approved,pe_bridge_review: existing_entity_spatial nearest 4.004 with 2 spatial matches and 1 entity matches; supports public event 157:Reconstructive Memory Dive; priority 88,Codex PE bridge review,2026-06-17
creatures,92,Security Control Panel,46092,approved,pe_bridge_review: existing_entity_spatial nearest 5.812 with 1 spatial matches and 1 entity matches; supports public event 390:Shiphand: Space Madness; priority 25,Codex PE bridge review,2026-06-17
creatures,4653,Captain Milo,41201,approved,pe_bridge_review: existing_entity_spatial nearest 1.455 with 1 spatial matches and 1 entity matches; supports public event 108:Outpost M-13; priority 22,Codex PE bridge review,2026-06-17
creatures,1046,Launch Pad,31587,approved,stormtalon_pe_bridge_review: world382 area271 coordinates 4296/4297 match Launch Pad entity_type10 with Creature2 31587 level1 simple row and PE145 relation 15; unblocks Stormtalon launch-pad bridge pending spawn and client smoke,Codex PE bridge review,2026-06-17
creatures,1345,Axis Pheydra,37434,approved,stormtalon_pe_bridge_review: world382 area271 coordinate 5694 matches Axis Pheydra Creature2 37434 faction219 level20 nonplayer row for PE145 relation 57; keeps other same-name candidates blocked pending client smoke,Codex PE bridge review,2026-06-17
creatures,760,Improvement Construction Platform,27244,approved,stormtalon_pe_bridge_review: world382 area271 coordinate 2975 maps the PE145 platform relation to Creature2 27244; StormtalonsLairEventScript spawns entity 1100038242 at WorldLocation2 20740 and focused tests cover objectives 558/4867 activation credit; remaining route visuals and client smoke stay blocked,Codex PE bridge review,2026-06-17
creatures,5045,Belle Walker,47063,approved,stormtalon_pe_bridge_review: world382 area271 coordinate 27299 maps PE145 Belle Walker to Creature2 47063 and build 16042 TargetGroup 6522 pairs 47063 with Axis Pheydra 47062 for blank TalkTo objective 1692; bridge reviewed only while repeat/dialog semantics and client smoke remain blocked,Codex PE bridge review,2026-06-17
creatures,28533,Gate Console,62427,approved,ultimate_protogames_gate_console_review: build16042 objective 2847 TargetGroup10569 uses Creature2 62987 while Jabbithole PE299 objective8177 coordinate6152099 places world2980 area4333 Gate Console source row 28533; runtime script spawns reviewed placement 62427 and accepts 62987/62427 with focused Prototentiary tests; client door choreography smoke remains blocked,Codex Ultimate Protogames bridge review,2026-06-18
creatures,28535,Cage Console,63037,approved,ultimate_protogames_cage_console_review: PE594 relation2245 unique-name maps source creature28535 to Creature2 63037; build16042 objective2864 and aggregate/timed rows2678 2863 and2858 use TargetGroup10583 with sole Creature2 63037; objective2864 uses WorldLocation2 41759 and count1; Jabbithole PE299 coordinate6152147 places source creature28535 in world2980 area4333 at the runtime cage console position -20703/-945/-6926; SneakyPrisonCageConsoleEntityScript filters Creature2 63037 and credits TargetGroup10583 once while exact cage release door stealth timer rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,28413,Warden,62324,approved,ultimate_protogames_warden_review: build16042 objective 2678 TargetGroup12474 uses Creature2 62324 for the Warden leg; Jabbithole PE299 creature 28413 has repeated world2980 area4333 coordinates around -20718/-945/-6923 matching the runtime Warden spawn and stats; WardenEntityScript credits objective 2678 while stealth timer and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,28306,Mondo's Monstrosity,62575,approved,ultimate_protogames_mondos_monstrosity_review: PE594 relation2415 scored-name maps source creature28306 to Creature2 62575; build16042 objective2926 TargetGroup10657 has sole Creature2 62575 and objective2941 shares WorldLocation2 41745; Jabbithole PE299 creature28306 has repeated world2980 area4351 coordinates around -16501/-910/-10991 matching the runtime spawn and stats; MondosMonstrosityEntityScript credits objectives2926 and2941 while timed qualification route rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,28277,Mondo's Crate,62549,approved,ultimate_protogames_mondos_crate_review: PE594 relation2184 unique-name maps source creature28277 to Creature2 62549; build16042 objective2920 is the Mondo's Crate script objective at WorldLocation2 41745 and TargetGroup10666 has sole Creature2 62549; Jabbithole PE299 coordinate6132219 places source creature28277 in world2980 area4351 at the runtime crate position -16500/-910/-10998 with matching stats; MondosCrateEntityScript filters Creature2 62549 and credits objective2920 while exact timer route rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,28278,Gilded Fowl,63055,approved,ultimate_protogames_gilded_fowl_review: PE594 relation2185 unique-name maps source creature28278 to Creature2 63055; build16042 objectives2862 and4442 target TargetGroup12263 with sole Creature2 63055; Jabbithole PE299 coordinate8011506 places source creature28278 in world2980 area4347 at the runtime Gilded Fowl position -21242/-807/-10806 with matching stats; GildedFowlEntityScript filters Creature2 63055 and credits objectives2862 and4442 while exact Power Plunge scoring route rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,28290,Misplaced Mammoth,63312,approved,ultimate_protogames_misplaced_mammoth_review: PE594 relation2188 unique-name maps source creature28290 to Creature2 63312; build16042 objective4692 TargetGroup12577 has sole Creature2 63312 and WorldLocation2 41745; Jabbithole PE299 coordinate8469464 places source creature28290 in world2980 area4351 at the runtime Misplaced Mammoth position -16482/-910/-10996 with matching stats; MisplacedMammothEntityScript filters Creature2 63312 and credits objective4692 while exact quick-reflexes route timer rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,28408,Ruffles,65794,approved,ultimate_protogames_ruffles_review: PE594 relation2217 unique-name maps source creature28408 to Creature2 65794; build16042 objective4561 Hunt Ruffles targets TargetGroup12390 with sole Creature2 65794; Jabbithole PE299 coordinate7930052 places source creature28408 in world2980 area4348 at the runtime Ruffles position -16866/-802/5570 with matching stats; RufflesEntityScript filters Creature2 65794 and credits objective4561 while exact hunt route pathing rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,28491,Malfunctioning Yellow Tank,62546,approved,ultimate_protogames_malfunctioning_yellow_tank_review: PE594 relation2232 unique-name maps source creature28491 to Creature2 62546; build16042 objectives2676 2868 2869 and2872 use TargetGroup12671 with Creature2 members 62542 62543 and62546; Jabbithole PE299 coordinate6144867 places source creature28491 in world2980 area4336 at the runtime Yellow Tank position -29077/-938/1552 with matching stats; MalfunctioningTankEntityScript filters Creature2 62542 62543 and62546 and credits the tank objectives while exact tank-room timer 50-percent incinerate route rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,32287,Malfunctioning Yellow Tank,62546,approved,ultimate_protogames_malfunctioning_yellow_tank_duplicate_review: PE594 relation2628 duplicate source row maps source creature32287 to Creature2 62546; build16042 objectives2676 2868 2869 and2872 use TargetGroup12671 with Creature2 members 62542 62543 and62546; Jabbithole PE299 coordinate7806864 places source creature32287 in world2980 at the same runtime Yellow Tank position -29077/-938/1552 with matching level50 health1563977 shield0 interruptarmor-1 and faction1322 as reviewed relation2232; MalfunctioningTankEntityScript filters Creature2 62542 62543 and62546 and credits the tank objectives while exact tank-room timer 50-percent incinerate route rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,28496,Wrecked Blue Tank,62543,approved,ultimate_protogames_wrecked_blue_tank_review: PE594 relation2234 unique-name maps source creature28496 to Creature2 62543; build16042 objectives2676 2868 2869 and2872 use TargetGroup12671 with Creature2 members 62542 62543 and62546; Jabbithole PE299 coordinate6145453 places source creature28496 in world2980 area4336 at the runtime Blue Tank position -29015/-938/1544 with matching stats; MalfunctioningTankEntityScript filters Creature2 62542 62543 and62546 and credits the tank objectives while exact tank-room timer 50-percent incinerate route rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,28516,Busted Red Tank,62542,approved,ultimate_protogames_busted_red_tank_review: PE594 relation2243 unique-name maps source creature28516 to Creature2 62542; build16042 objectives2676 2868 2869 and2872 use TargetGroup12671 with Creature2 members 62542 62543 and62546; Jabbithole PE299 coordinate6150582 places source creature28516 in world2980 area4336 at the runtime Red Tank position -29052/-938/1497 with matching stats; MalfunctioningTankEntityScript filters Creature2 62542 62543 and62546 and credits the tank objectives while exact tank-room timer 50-percent incinerate route rewards medals and client smoke remain blocked,Codex Ultimate Protogames bridge review,2026-06-19
creatures,48,Datapad,45993,approved,space_madness_datapad_review: PE390 objective1596 Crew Datapads maps object6384 TargetGroup6384 to Creature2 45993; Jabbithole creature48 is only used by PE390 relation19 and world2149 area2416 Datapad spawn evidence; CrewDatapadEntityScript and focused Space Madness tests pin 45993 target-group checklist credit; spawn import and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3634,Hazmat Suit,45981,approved,space_madness_hazmat_suit_review: PE390 relation145 scored-name maps source creature3634 to Creature2 45981; objective1656 reward-pane TargetGroup6362 has sole member 45981; SpaceMadnessEventScript spawns HazmatSuit 45981 and HazmatSuitEntityScript filters 45981/direct-credits objective1656; source coordinate evidence is world2149 area2417 while runtime phase placement uses area2415 so spawn placement smoke remains blocked,Codex Space Madness bridge review,2026-06-18
creatures,3635,Engineering Computer,45973,approved,space_madness_engineering_computer_review: PE390 relation146 unique-name maps source creature3635 to Creature2 45973; objective1603 TargetGroup6372 has sole member 45973; SpaceMadnessEventScript spawns the all-clear EngineeringComputer 45973 and EngineeringComputerEntityScript filters 45973/credits TargetGroup6372; world2149 area2421 coordinate evidence aligns with the runtime phase placement; client timing reward and full smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3638,Air Scrubber Controls,46437,approved,space_madness_air_scrubber_controls_review: PE390 relation147 unique-name maps source creature3638 to Creature2 46437; objective1595 TargetGroup6371 contains MainVentLever 45861 and AirScrubberControls 46437; AirScrubberControlsEntityScript filters 45861/46437 and credits TargetGroup6371; world2149 area2421 coordinate evidence aligns with the Space Madness lab context; MainVentLever bridge and objective2115 timer/wave/full smoke remain separate blockers,Codex Space Madness bridge review,2026-06-18
creatures,28141,Slinking Slank,69899,approved,space_madness_slinking_slank_review: PE390 relation2033 unique-name maps source creature28141 to Creature2 69899; build16042 objective4709 object TargetGroup12595 has sole member 69899; ExperimentalSlankEntityScript filters 69899 and credits TargetGroup12595 plus parent CollectEscapedCreatures; spawn import and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,28112,Talking Rockmite,69900,approved,space_madness_talking_rockmite_review: PE390 relation2020 unique-name maps source creature28112 to Creature2 69900; build16042 objective4710 object TargetGroup12596 has sole member 69900 and parent objective4712; ExperimentalRockmiteEntityScript filters 69900 and credits TargetGroup12596 plus parent CollectEscapedCreatures; 85 world2149 area2414 source coordinates map to 69900; spawn import and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,28093,Party Down-Grazer,69901,approved,space_madness_party_downgrazer_review: PE390 relation2017 unique-name maps source creature28093 to Creature2 69901; build16042 objective4711 object TargetGroup12597 has sole member 69901 and parent objective4712; PartyDowngrazerEntityScript filters 69901 and credits TargetGroup12597 plus parent CollectEscapedCreatures; 71 world2149 area2414 source coordinates map to 69901; spawn import and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,332,Major Lee Barmy,45812,approved,space_madness_major_lee_barmy_review: PE390 relation23 unique-name maps source creature332 to Creature2 45812; objective1588 TargetGroup6358 has sole member 45812; MajorLeeBarmyEntityScript filters 45812 and credits TargetGroup6358; separate same-target source creature28252 relation2120 and live placement smoke remain untouched; spawn import phase timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,392,Writhing Nightmare,46123,approved,space_madness_writhing_nightmare_review: PE390 relation25 ambiguous-name maps source creature392 to Creature2 46123; objective1590 reward-pane TargetGroup6402 nests TargetGroup6400 containing 46123; SavePanickedWorkersNightmareEntityScript filters 46123 and credits objective1590; separate same-name source creature28046 relation2009 is reviewed by the Prime bridge slice and remains runtime/client-smoke blocked; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,446,Ravenous Nightmare,46133,approved,space_madness_ravenous_nightmare_review: PE390 relation26 scored-name maps source creature446 to Creature2 46133; objective1590 reward-pane TargetGroup6402 nests TargetGroup6401 containing 46133; SavePanickedWorkersNightmareEntityScript filters 46133 and credits objective1590; separate same-name source creature28076 relation2013 is reviewed by the Prime bridge slice and remains runtime/client-smoke blocked; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,979,Observation Deck Computer,45972,approved,space_madness_observation_deck_computer_review: PE390 relation27 unique-name maps source creature979 to Creature2 45972; objective1589 TargetGroup6356 has sole member 45972; SpaceMadnessEventScript spawns reviewed entity1100300007 and ObservationDeckComputerEntityScript filters 45972 and credits TargetGroup6356 once; WIP coordinate precision and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,1097,Captain Tero,45900,approved,space_madness_captain_tero_review: PE390 relation28 scored-name maps source creature1097 to Creature2 45900; objective1579 TargetGroup6342 has sole member 45900; SpaceMadnessEventScript spawns reviewed entity1100300005 and CaptainTeroEntityScript filters 45900 and credits TargetGroup6342; duplicate same-target source creature28243 relation2117 reviewed in companion override; WIP placement and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,28243,Captain Tero,45900,approved,space_madness_captain_tero_duplicate_review: PE390 relation2117 scored-name maps source creature28243 to Creature2 45900 at the same world2149 area2483 placement as relation28; objective1579 TargetGroup6342 has sole member 45900; SpaceMadnessEventScript spawns reviewed entity1100300005 and CaptainTeroEntityScript filters 45900 and credits TargetGroup6342; WIP placement and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,1121,Rending Nightmare,46130,approved,space_madness_rending_nightmare_review: PE390 relation29 scored-name maps source creature1121 to Creature2 46130; objective1590 reward-pane TargetGroup6402 nests TargetGroup6400 containing 46130; SavePanickedWorkersNightmareEntityScript filters 46130 and credits objective1590; separate same-name source creature28035 relation2006 is reviewed by the Prime bridge slice and remains runtime/client-smoke blocked; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,1128,Shocking Nightmare,46126,approved,space_madness_shocking_nightmare_review: PE390 relation30 scored-name maps source creature1128 to Creature2 46126; objective1590 reward-pane TargetGroup6402 nests TargetGroup6400 containing 46126; SavePanickedWorkersNightmareEntityScript filters 46126 and credits objective1590; separate same-name source creature28172 relation2038 remains untouched; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,1189,Horrifying Nightmare,46132,approved,space_madness_horrifying_nightmare_review: PE390 relation31 ambiguous-name maps source creature1189 to Creature2 46132; objective1590 reward-pane TargetGroup6402 nests TargetGroup6401 containing 46132; SavePanickedWorkersNightmareEntityScript filters 46132 and credits objective1590; separate same-name source creature28148 relation2034 remains untouched; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,884,Looming Nightmare,46135,approved,space_madness_looming_nightmare_review: PE390 relation155 scored-name maps source creature884 to Creature2 46135; objective1590 reward-pane TargetGroup6402 nests TargetGroup6401 containing 46135; SavePanickedWorkersNightmareEntityScript filters 46135 and credits objective1590; separate same-name source creature28114 relation2021 remains untouched; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3628,Gnarled Nightmare,58783,approved,space_madness_gnarled_nightmare_review: PE390 relation144 scored-name maps source creature3628 to Creature2 58783; objective1590 reward-pane TargetGroup6402 nests TargetGroup6401 containing 58783; SavePanickedWorkersNightmareEntityScript filters 58783 and credits objective1590; separate same-name source creature28121 relation2026 remains untouched; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3670,Hookfoot Nightmare,46721,approved,space_madness_hookfoot_nightmare_review: PE390 relation157 scored-name maps source creature3670 to Creature2 46721; objective1590 reward-pane TargetGroup6402 nests TargetGroup6401 containing 46721; SavePanickedWorkersNightmareEntityScript filters 46721 and credits objective1590; separate same-name source creature28166 relation2035 remains untouched; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3674,Metallic Nightmare,58798,approved,space_madness_metallic_nightmare_review: PE390 relation158 ambiguous-name maps source creature3674 to Creature2 58798; objective1590 reward-pane TargetGroup6402 nests TargetGroup6401 containing 58798; SavePanickedWorkersNightmareEntityScript filters 58798 and credits objective1590; separate same-name source creature28077 relation2312 remains untouched; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,39,Stinging Nightmare,46124,approved,space_madness_stinging_nightmare_review: PE390 relation18 maps source creature39 only to Creature2 46124; objective1590 reward-pane TargetGroup6402 nests TargetGroup6400 containing 46124; SavePanickedWorkersNightmareEntityScript filters 46124 and credits objective1590; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,64,Venomous Nightmare,46128,approved,space_madness_venomous_nightmare_review: PE390 relation20 maps source creature64 only to Creature2 46128; objective1590 reward-pane TargetGroup6402 nests TargetGroup6400 containing 46128; SavePanickedWorkersNightmareEntityScript filters 46128 and credits objective1590; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,205,Verminous Nightmare,46131,approved,space_madness_verminous_nightmare_review: PE390 relation22 unique-name maps source creature205 only to Creature2 46131; objective1590 reward-pane TargetGroup6402 nests TargetGroup6400 containing 46131; SavePanickedWorkersNightmareEntityScript filters 46131 and credits objective1590; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,389,Electrifying Nightmare,46127,approved,space_madness_electrifying_nightmare_review: PE390 relation24 maps source creature389 only to Creature2 46127; objective1590 reward-pane TargetGroup6402 nests TargetGroup6400 containing 46127; SavePanickedWorkersNightmareEntityScript filters 46127 and credits objective1590; separate same-name source creature28128 relation2029 remains untouched; spawn import panicked-worker timing and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3645,Exact Change 3.0,46483,approved,space_madness_exact_change_30_review: PE390 relation151 unique-name maps source creature3645 to Creature2 46483; objective1593 is direct KillEventObjectiveUnit count10 for Hallucinating Livestock; SpaceMadnessEventScript spawns Exact Change 3.0 entity1100300009 on phase4 and HallucinatingLivestockEntityScript filters 46483 and credits objective1593; 94 world2149 area2416 source coordinates map to 46483; combat rewards medals and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,28116,Exact Change 3.1,69204,approved,space_madness_exact_change_31_review: PE390 relation2023 unique-name maps source creature28116 to Creature2 69204; source and client rows are level50 difficulty5 candidate_count1; 59 world2149 area2416 source coordinates and Q9883 Deconstruction relation8027 plus contract relation1112 also map 28116 to 69204; spell rows share the Exact Change 3.x ability family; runtime Space Madness phase spawn and objective-credit behavior for 69204 remain blocked pending Prime contract client smoke,Codex Space Madness bridge review,2026-06-18
creatures,3643,Maddened Roanstag,45726,approved,space_madness_maddened_roanstag_review: PE390 relation149 scored-name maps normal level32 source creature3643 to Creature2 45726; 63 world2149 area2421 source coordinates and spells Headbutt Ram Bucking Frenzy support the bridge; separate level50 same-name source creature28134 relation2119 maps to Creature2 69138 and remains untouched; runtime phase spawn objective-credit rewards medals and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3654,Hallucinating Cubig,45724,approved,space_madness_hallucinating_cubig_review: PE390 relation152 scored-name maps normal level32 source creature3654 to Creature2 45724; 66 world2149 area2421 source coordinates and spells Chomp Bite Bruising Rush Pulverizing Vault support the bridge; separate level50 same-name source creature28092 relation2016 is reviewed by the Prime bridge slice to Creature2 69137; runtime phase spawn objective-credit rewards medals and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3663,Eye Nightmare,46723,approved,space_madness_eye_nightmare_review: PE390 relation154 scored-name maps normal level32 source creature3663 to Creature2 46723; 62 world2149 area2416 source coordinates and spells Punch Jab Flourishing Combo Haymaker support the bridge; TargetGroup6449 lists 46723 but no current PE390 objective row in public_event_objective_client_map uses 6449; objective1590/SavePanickedWorkers script evidence remains scoped to TargetGroups6400/6401; separate level50 same-name source creature28023 relation2005 is reviewed by the Prime bridge slice and remains runtime/client-smoke blocked; runtime objective ownership spawn credit rewards medals and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3696,Smoke Nightmare,46722,approved,space_madness_smoke_nightmare_review: PE390 relation160 scored-name maps normal level32 source creature3696 to Creature2 46722; 67 world2149 area2416 source coordinates and spells Jab Punch support the bridge; TargetGroup6449 lists 46722 but no current PE390 objective row in public_event_objective_client_map uses 6449; objective1590/SavePanickedWorkers script evidence remains scoped to TargetGroups6400/6401; separate level50 same-name source creature28115 relation2022 maps to Creature2 69208 and remains untouched; runtime objective ownership spawn credit rewards medals and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3667,Masked Arachnid,46720,approved,space_madness_masked_arachnid_review: PE390 relation156 scored-name maps normal level32 source creature3667 to Creature2 46720; 92 world2149 area2416 source coordinates and spells Pinch Slice support the bridge; TargetGroup6448 lists 46720 but no current PE390 objective row in public_event_objective_client_map uses 6448; separate level50 same-name source creature28170 relation2037 maps to Creature2 69206 and remains untouched; runtime objective ownership spawn credit rewards medals and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
creatures,3684,Foaming Roandoe,45727,approved,space_madness_foaming_roandoe_review: PE390 relation159 scored-name maps normal level32 source creature3684 to Creature2 45727; 62 world2149 area2419 source coordinates and spells Ram Headbutt Bucking Frenzy support the bridge; TargetGroup6363 lists 45727 with livestock-family rows but no current PE390 objective row in public_event_objective_client_map uses 6363; HallucinatingLivestockEntityScript remains scoped to 46483 and 46714; separate level50 same-name source creature28056 relation2010 is reviewed by the Prime bridge slice and remains runtime/client-smoke blocked; runtime objective ownership spawn credit rewards medals and client smoke remain blocked,Codex Space Madness bridge review,2026-06-18
